Question,Question Type (multiple-choice or multi-select),Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Answer Option 7,Answer Option 8,Answer Option 9,Answer Option 10,Answer Option 11,Answer Option 12,Answer Option 13,Answer Option 14,Answer Option 15,Correct Response,Explanation,Knowledge Area
What happens to dashboard access when Explicit Roles are activated on an instance?,multiple-choice,All dashboards require the admin role to view,Dashboards are treated as internal resources; users with snc_external role cannot view them by default,Dashboard sharing is disabled for all non-admin users,All existing dashboard permissions are reset,,,,,,,,,,,,2,"When Explicit Roles are activated, dashboards are treated as internal resources. Users with the snc_external role cannot view dashboards by default.",CIS-PA
What content does the Performance Analytics Admin Console NOT support?,multiple-choice,Core UI Performance Analytics widgets,Responsive dashboards,Platform Analytics artifacts,Data collection job monitoring,,,,,,,,,,,,3,The Admin Console does not support Platform Analytics artifacts. It shows information only for Core UI Performance Analytics widgets and responsive dashboards.,CIS-PA
What is the maximum number of days of historical data that can be visualized with Complimentary Performance Analytics for Incident Management?,multiple-choice,90 days,180 days,365 days,Unlimited,,,,,,,,,,,,2,"Complimentary Performance Analytics for Incident Management limits visualization to a maximum of 180 days of historic scores, counting from today's date.",Architecture & Deployment
Which two features are available ONLY with a paid Performance Analytics subscription? (Choose two.),multiple-choice,Custom Performance Analytics indicators and breakdowns,Pre-built indicators for Incident Management,Scores preserved for longer than 180 days,Basic dashboard viewing,Guided Setup wizard,,,,,,,,,,,"1,3","A paid subscription enables custom Performance Analytics indicators, breakdowns, widgets, and other configuration records, as well as scores preserved for longer than 180 days (five full months for monthly indicators).",Architecture & Deployment
An administrator needs to activate Performance Analytics on a production instance. Where should they navigate to find and install the Performance Analytics Premium plugin?,multiple-choice,System Definition > Plugins,System Applications > All Available Applications > All > Plugins filter,Performance Analytics > Admin Console > Plugins,System Update Sets > Retrieved Update Sets,,,,,,,,,,,,2,"To activate the Performance Analytics Premium plugin, navigate to System Applications > All Available Applications > All, then under Filters, find the Listings section and select Plugins, then search for 'performance analytics premium'.",Architecture & Deployment
Which component of Performance Analytics captures periodic snapshots of process tables and stores them in the Scores and Snapshots tables?,multiple-choice,Indicator Source,Breakdown Mapping,Data Collector,Analytics Hub,,,,,,,,,,,,3,The Data Collector is the engine that takes periodic snapshots of your process tables and stores them in the Scores and Snapshots tables. Data collector jobs can run automatically according to a schedule.,Architecture & Deployment
Which three statements describe benefits of using Performance Analytics? (Choose three.),multiple-choice,Delivers insights instantly without manual report creation,Automatically replaces all existing ServiceNow reports,Establishes a single version of truth with consistent data,Accelerates time-to-value with implementation in weeks,Eliminates the need for any dashboard configuration,,,,,,,,,,,"1,3,4","PA benefits include: delivering insights instantly (people get relevant insights by clicking a button), establishing a single version of truth (consistent, accurate data), and accelerating time-to-value (implement within weeks instead of months).",Architecture & Deployment
"Starting in the Tokyo release, how are Performance Analytics features activated on hosted instances with a subscription?",multiple-choice,Features must always be activated manually via plugins,Features are activated automatically through Subscription Management,Features require a ServiceNow support ticket for activation,Features are activated by importing an update set,,,,,,,,,,,,2,"Starting in Tokyo, Subscription Management applies to Performance Analytics. On hosted instances with a subscription, features should be activated automatically without manual plugin activation.",Architecture & Deployment
Which system property must be set to false to deactivate the optimized data collector in Performance Analytics?,multiple-choice,com.snc.pa.dc.optimized,com.snc.pa.dc.hsql,com.snc.pa.dc.enabled,com.snc.pa.collector.mode,,,,,,,,,,,,2,The system property com.snc.pa.dc.hsql must be set to false to deactivate the optimized data collector.,CIS-PA
Which database type is NOT supported by the optimized Performance Analytics data collector?,multiple-choice,MySQL,PostgreSQL,Oracle,MariaDB,,,,,,,,,,,,3,Oracle databases are not supported by the optimized data collector. The optimized collector supports only instances where indicator scores are stored on the pa_scores_l1 and pa_scores_l2 tables.,CIS-PA
Which two tables are used to store indicator scores when the optimized data collector is active? (Choose two.),multiple-choice,pa_scores,pa_scores_l1,pa_scores_l2,pa_scores_archive,,,,,,,,,,,,"2,3",The optimized data collector supports only instances where indicator scores are stored on the Scores Level 1 [pa_scores_l1] and Scores Level 2 [pa_scores_l2] tables.,CIS-PA
What is the minimum role required to create indicator sources and breakdown sources in Performance Analytics?,multiple-choice,pa_viewer,pa_power_user,pa_data_collector,pa_admin,,,,,,,,,,,,3,"The pa_data_collector role is the minimum role required to create indicator sources and breakdown sources, as stated in the PA architecture documentation.",CIS-PA
How does the optimized data collector handle memory differently from the classic data collector during score processing?,multiple-choice,It loads all scores into node memory at once for faster processing,It moves packets of scores to temporary storage on disk during the job,It streams scores directly to the database without any intermediate storage,It uses a distributed cache across multiple nodes,,,,,,,,,,,,2,"The optimized data collector moves packets of scores to temporary storage on disk using an embedded database. At the end of the job, scores are written to the scores tables and the temporary database is cleared.",CIS-PA
"An organization wants to use Performance Analytics to analyze incident data. In the PA architecture, which component directly references the Incident table and defines filtering conditions?",multiple-choice,Indicator,Indicator source,Breakdown source,Dashboard widget,,,,,,,,,,,,2,"An indicator source is the metadata object that references a business process table (like Incident), defines a unique field, and specifies conditions for filtering records.",CIS-PA
Which two capabilities does the optimized Performance Analytics data collector support? (Choose two.),multiple-choice,Handling over 10 million records without adverse performance impact,Running on Oracle databases,Supporting at least 10 breakdowns with breakdown matrix enabled,Batch inserts of scores using nested collection,,,,,,,,,,,,"1,3","The optimized data collector supports handling over 10 million records and at least 10 breakdowns with breakdown matrix enabled, including dot-walked conditions and two large breakdowns with up to 1 million records.",CIS-PA
"In the Performance Analytics architecture, which level contains breakdown sources that reference inventory tables?",multiple-choice,Level 0 — Database tables,Level 1 — Sources,Level 2 — Indicators and breakdowns,Level 3 — Widgets,,,,,,,,,,,,2,"In the PA architecture, Level 1 contains both indicator sources and breakdown sources. Breakdown sources reference inventory tables like User [sys_user] or Choice [sys_choice].",CIS-PA
What is the default state of the optimized data collector starting from the Tokyo release?,multiple-choice,Disabled; must be manually activated per instance,Active by default on all instances,Active only on instances with a Premium PA subscription,"Active only on new instances, not upgrades",,,,,,,,,,,,2,The optimized data collector is active by default on all instances starting in Tokyo. It is activated upon upgrading.,CIS-PA
What is the purpose of an element filter in Performance Analytics?,multiple-choice,To calculate indicator scores from filtered data,To specify or limit the displayed breakdown elements on visualizations,To define which indicators appear on dashboards,To restrict user access to specific dashboards,,,,,,,,,,,,2,Element filters enable you to specify or limit the displayed breakdown elements on visualizations.,Breakdowns & Breakdown Sources
Which role is required to create an element filter in Performance Analytics?,multiple-choice,pa_viewer,pa_power_user,pa_data_collector or admin,pa_contributor,,,,,,,,,,,,3,The role pa_data_collector or admin is required to create an element filter.,Breakdowns & Breakdown Sources
In which two places can element filters be applied in Platform Analytics? (Choose two.),multiple-choice,KPI Details Filters pane under 'Refine by',Data collection job configuration,Analytics Hub when selecting a breakdown,Indicator source definition,,,,,,,,,,,,"1,3","Element filters can be applied on KPI Details under 'Refine by' when selecting a breakdown, and in the Analytics Hub when you select a breakdown that has element filters on its breakdown source.",Breakdowns & Breakdown Sources
What must be used for personalized visuals with element filters?,multiple-choice,The [equals] operator in the filter condition,The [is (dynamic)] operator in the filter condition,A manual breakdown source,A scripted breakdown mapping,,,,,,,,,,,,2,"For Personalized visuals, the operator in the filter condition must be [is (dynamic)].",Breakdowns & Breakdown Sources
How many levels of breakdown can be applied to an indicator in Performance Analytics?,multiple-choice,One level only,Not more than two levels,Up to three levels,Unlimited levels,,,,,,,,,,,,2,You cannot apply more than two levels of breakdown to an indicator.,Breakdowns & Breakdown Sources
What happens when you add a filter in Interactive Analysis and click Apply Filters?,multiple-choice,The filter is saved permanently to the indicator,The new filter element appears in the Group by and Stack by lists,A new breakdown source is created automatically,The data collector job runs immediately,,,,,,,,,,,,2,"When you add a filter in Interactive Analysis and click Apply Filters, the new filter element appears in the Group by and Stack by lists.",Breakdowns & Breakdown Sources
Which three types of breakdowns are supported based on where their elements come from? (Choose three.),multiple-choice,Automated,Manual,External,Formula,Scripted,,,,,,,,,,,"1,2,3","Breakdowns are categorized as automated, manual, or external, depending on where the breakdown elements come from.",Breakdowns & Breakdown Sources
What is the purpose of a breakdown mapping in Performance Analytics?,multiple-choice,To define the visual appearance of breakdowns on dashboards,To specify relationships between breakdowns and indicator sources,To schedule when breakdown data is collected,To determine which users can view breakdown data,,,,,,,,,,,,2,"Breakdown mappings specify the relationships, or 'map,' breakdowns to indicator sources. A breakdown mapping either specifies a field on the indicator source or specifies a script that queries the indicator source.",Breakdowns & Breakdown Sources
What is a bucket group used for in Performance Analytics breakdowns?,multiple-choice,To group indicator scores by time period,To recategorize data by grouping values into discrete buckets,To store historical breakdown data,To limit dashboard access by user groups,,,,,,,,,,,,2,"Bucket groups are used to recategorize data so it can be used as a breakdown, for example by grouping a range of values into discrete buckets.",Breakdowns & Breakdown Sources
An administrator wants to create an element filter that shows only users in the HR department from the User [sys_user] breakdown source. What should they configure in the Filter field?,multiple-choice,[Name][contains][HR],[Department][is][HR],[Group][equals][HR Department],[User Type][is][HR],,,,,,,,,,,,2,"For example, if the breakdown source facts table is User [sys_user], you can add a filter condition to include only users in the HR department with [Department][is][HR].",Breakdowns & Breakdown Sources
Which table is used as the facts table when creating a breakdown source that uses bucket groups?,multiple-choice,PA Scores [pa_scores],Bucket [pa_buckets],Breakdown Element [pa_breakdown_elements],Indicator Source [pa_indicator_sources],,,,,,,,,,,,2,"To work with a bucket group, create a breakdown source that uses Bucket [pa_buckets] as the facts table and specifies the bucket group in a condition.",Breakdowns & Breakdown Sources
What is the result of setting a Default element filter on a breakdown record?,multiple-choice,The filter becomes the only filter available for that breakdown,The filter is selected automatically for that breakdown in any visualization,The filter is applied permanently and cannot be changed,The filter is copied to all existing dashboards,,,,,,,,,,,,2,You can specify a Default element filter on a breakdown record. That elements filter is selected automatically for that breakdown in any visualization. Users that view the breakdown on the Analytics Hub or on KPI Details can change or clear the selected elements filter.,Breakdowns & Breakdown Sources
What does the PAFormulaUtils method getCurrentBreakdownLevel2ID() return?,multiple-choice,The first-level breakdown name,The level 2 breakdown identifier (sys_id) from the current formula indicator,The count of breakdown elements at level 2,The breakdown source sys_id,,,,,,,,,,,,2,getCurrentBreakdownLevel2ID() returns the level 2 breakdown identifier (sys_id) from the indicator of the current formula. The sys_id is returned dynamically as the selection in the Analytics Hub changes.,Breakdowns & Breakdown Sources
Which widget types in Core UI support the use of element filters?,multiple-choice,Only breakdown widgets,"Breakdown, time series, and score widgets",All Performance Analytics widgets,Only time series widgets,,,,,,,,,,,,2,"Only breakdown, time series, and score widgets support elements filters. For time series and score widgets, an elements filter replaces the first-level breakdown element. For breakdown widgets, an elements filter limits the elements that are shown.",Breakdowns & Breakdown Sources
An administrator creates an element filter on the Groups breakdown source and wants to show only groups that had an incident assigned to them in the last 6 months. Which filter type should they use?,multiple-choice,Standard CONDITIONS filter,RELATED LIST CONDITIONS filter,Scripted filter,Time-based filter,,,,,,,,,,,,2,"Use RELATED LIST CONDITIONS to include a relationship with another table. For example, creating an element filter on the Groups breakdown source with a related list condition on Incident->Assignment group and Created in Last 6 Months would show only groups assigned incidents in that timeframe.",Breakdowns & Breakdown Sources
What does a breakdown source reference in the Performance Analytics architecture?,multiple-choice,A business process table like Incident,An inventory table like User or Choice,A score table like pa_scores_l1,A dashboard configuration table,,,,,,,,,,,,2,"Breakdown sources reference inventory tables containing information needed to filter, categorize, or break down data. Examples include User [sys_user] and Choice [sys_choice].",CIS-PA
Which two capabilities does the optimized data collector provide for breakdowns? (Choose two.),multiple-choice,Support for dot-walked conditions,Support for two large breakdowns with up to 1 million records each,Unlimited number of breakdowns per indicator,Automatic breakdown creation from table fields,,,,,,,,,,,,"1,2","The optimized data collector supports dot-walked conditions and two large breakdowns with up to 1 million records each, along with breakdown relations.",CIS-PA
"During data collection, what information is stored in the scores array for each processed record?",multiple-choice,"Indicator, Breakdown 1, Artifact 1, Breakdown 2, Artifact 2, Domain, Value, Array of sys_id","Indicator, Score, Timestamp, User","Table, Record, Field, Value, Breakdown","Source, Indicator, Period, Count, Sum",,,,,,,,,,,,1,"The scores array structure is: Indicator, Breakdown 1, Artifact 1, Breakdown 2, Artifact 2, Domain, Value, Array of [sys_id].",CIS-PA
"An administrator configures an indicator with 10 breakdowns and breakdown matrix enabled. When the indicator is excluded from breakdown collection for Assignment Group, what is logged?",multiple-choice,An error indicating the breakdown cannot be excluded,A message like 'Not collecting for Indicator with excluded Breakdown: Assignment Group',Nothing; excluded breakdowns are silently skipped,A warning that breakdown matrix will be incomplete,,,,,,,,,,,,2,"The log specifies which indicators are not collected for excluded breakdowns, showing entries like: Not collecting for Indicator: [name] with excluded Breakdown: Assignment Group.",CIS-PA
What information does a breakdown source contain in addition to a reference to an inventory table?,multiple-choice,A reference to a field with unique values and conditions for filtering records,A formula for calculating breakdown scores,A list of associated dashboards,A schedule for breakdown data collection,,,,,,,,,,,,1,"Breakdown sources contain a reference to an inventory table, a reference to a field on the table with unique values for every record, and conditions for filtering records.",CIS-PA
What is the primary function of data collector jobs in Performance Analytics?,multiple-choice,To create new indicators automatically,To take periodic snapshots of process tables and store them in Scores and Snapshots tables,To export dashboard data to external systems,To validate indicator configurations,,,,,,,,,,,,2,The Data Collector is the engine that takes periodic snapshots of your process tables and stores them in the Scores and Snapshots tables.,Data Collection
What is the recommended relationship between a data collector job's schedule and an indicator source's frequency?,multiple-choice,The job should run more frequently than the indicator frequency,The job schedule should match the indicator source frequency,The job should run less frequently than the indicator frequency,There is no relationship between job schedule and indicator frequency,,,,,,,,,,,,2,Usually set a job schedule to match the frequency in the indicator source.,Data Collection
Which type of data collection job should be run only once to populate empty indicators?,multiple-choice,Daily data collection job,Historical data collection job,Automated data collection job,Scheduled data collection job,,,,,,,,,,,,2,"You can set up jobs that run manually, such as historical jobs, which you run only when collecting data for a new indicator.",Data Collection
Which two actions should be performed in the 'Collect data' phase of PA implementation? (Choose two.),multiple-choice,Schedule and activate data collector jobs,Create dashboard visualizations,Run historical data collector jobs as a one-off,Define business goals and measurements,,,,,,,,,,,,"1,3","In the Collect data phase, collection jobs need to be configured to run with the desired frequency and activated, and historical data collector jobs should be run as a one-off to populate empty indicators.",Data Collection
What happens when one data collection job generates scores for multiple indicators?,multiple-choice,Each indicator receives a separate job,This is not possible; each job collects for one indicator only,One job usually generates scores for multiple indicators that use the same indicator source,The job fails due to conflicts,,,,,,,,,,,,3,One job usually generates scores for multiple indicators that use the same indicator source.,Data Collection
What is the purpose of Performance Analytics diagnostics?,multiple-choice,To schedule data collection jobs,To identify and diagnose configuration issues using predefined scripts,To create new indicator sources,To export collected scores to external systems,,,,,,,,,,,,2,Performance Analytics diagnostics identify and diagnose configuration issues using predefined scripts that examine the database for invalid records and provide suggestions to resolve issues.,Data Collection
Which three levels of logging does Performance Analytics provide for data collection jobs?,multiple-choice,"Job events, job logs, and job log details","Error logs, warning logs, and info logs","Collection logs, processing logs, and storage logs","System logs, application logs, and audit logs",,,,,,,,,,,,1,"Performance Analytics provides three levels of log: job events (which jobs executed), job logs (overview of each job), and job log details (what happened in each step).",CIS-PA
What does the nested collection optimization do in the classic data collector?,multiple-choice,Collects data for nested indicator sources in parallel,Creates one object per indicator instead of duplicates for every breakdown and element,Nests breakdown scores within indicator score records,Processes child domains before parent domains,,,,,,,,,,,,2,"Nested collection replaces flat mapping to reduce redundant objects. Instead of creating identical indicator objects for every breakdown and element, only one object is created for the indicator.",CIS-PA
What is the default value of the flush snapshot count property (com.snc.pa.dc.flush_snapshot_count) in Performance Analytics?,multiple-choice,100,500,1000,5000,,,,,,,,,,,,3,The flush_snapshot_count property defaults to 1000. It controls the maximum number of PA snapshots stored in memory before offloading them to the database.,CIS-PA
"When a data collection job processes an indicator source condition that includes 'Today', how is 'Today' interpreted?",multiple-choice,Relative to the current system date,Relative to the period for which the data collection job is executed,Relative to the job's scheduled start time,Relative to UTC midnight,,,,,,,,,,,,2,"If the indicator source specifies Today in one of the conditions, Today is considered relative to the period for which the data collection job is executed, not the current date.",CIS-PA
An administrator notices that a data collection job's statistics show 'errors: 5'. Where should they look first for detailed troubleshooting information?,multiple-choice,System logs → All,Performance Analytics → Admin Console → Troubleshoot,Data collection job → Job log details,Platform Analytics → Diagnostics,,,,,,,,,,,,3,Job log details describe what happened in each step of an executed job and provide the most granular troubleshooting information for collection errors.,CIS-PA
Which two statements about the map/reduce function during PA data collection are true? (Choose two.),multiple-choice,It deletes previous scores for indicators before processing new records,It processes records sequentially without tracking memory usage,It logs the percentage of records processed and result object size,"It can only process a maximum of 10,000 records per run",,,,,,,,,,,,"1,3","During data collection, the map/reduce function first deletes previous scores for the indicators and breakdowns, then processes each record while logging progress percentage and memory usage (result object size).",CIS-PA
What does the com.snc.pa.dc.use_hashcode_for_distinct property control?,multiple-choice,Whether distinct indicators use hash-based deduplication for score storage,Whether count distinct aggregations are stored as a hashcode instead of separate values,Whether distinct breakdown elements are hashed for faster lookup,Whether the data collector uses hash partitioning for parallel processing,,,,,,,,,,,,2,"The use_hashcode_for_distinct property stores count distinct aggregations as a hashcode instead of as separate values, improving efficiency. It defaults to true.",CIS-PA
An administrator is reviewing the data collection job log. Which two pieces of information are shown at the start of the collection job? (Choose two.),multiple-choice,The domain of the Run As user,The total number of records to be processed,"Whether scores, text index, or both are being collected",The estimated completion time,,,,,,,,,,,,"1,3","The job log starts by showing the domain of the Run As user and what is being collected (scores, text index, or both), along with the optimization property settings.",CIS-PA
What happens to batch inserts of scores when nested collection is enabled in the classic data collector?,multiple-choice,Batch inserts are automatically optimized,Batch inserts of scores are not supported with nested collection,Batch inserts are doubled in size for efficiency,Batch inserts are queued and processed after nested collection completes,,,,,,,,,,,,2,"When using nested collection, batch inserts of scores are not supported. This is a trade-off for the reduced memory usage that nested collection provides.",CIS-PA
"When using a formula indicator, what happens by default if one of the contributing indicators has no score for a collection period?",multiple-choice,The formula calculates using zero for the null indicator,The formula indicator returns no score,The formula raises an error in the job log,The formula skips that indicator and calculates with remaining values,,,,,,,,,,,,2,"If one of the indicators in a formula has no score, by default the formula is not calculated and the formula indicator returns no score.",Indicators & Indicator Sources
Which checkbox must be selected on a formula indicator to enable handling of null scores from contributing indicators?,multiple-choice,Enable null score handling,Allow formula component to be null,Skip null indicators,Calculate on empty values,,,,,,,,,,,,2,Select 'Allow formula component to be null' on the formula indicator to enable calculation even when a contributing indicator has no score.,Indicators & Indicator Sources
A PA administrator manually enters scores for an automated indicator in the Scoresheet. What happens when the next data collection job runs?,multiple-choice,The manually entered scores are preserved and the job skips those periods,The manually entered scores are overwritten by the job,The job fails with a conflict error,The job merges the manual and collected scores,,,,,,,,,,,,2,"You can manually overwrite data that a job collected. However, the next time a job runs that collects this data, the manually entered data is overwritten in turn.",Indicators & Indicator Sources
Which two roles can manually add or edit indicator scores in the PA Scoresheet? (Choose two.),multiple-choice,pa_viewer,pa_contributor,pa_admin,itil,,,,,,,,,,,,"2,3","The roles pa_contributor, pa_admin, pa_power_user, or admin can manually add or edit indicator scores in the Scoresheet.",Indicators & Indicator Sources
Which type of indicator CANNOT have its scores manually edited in the Scoresheet?,multiple-choice,Automated indicators,Manual indicators,Formula indicators,External indicators,,,,,,,,,,,,3,You cannot edit scores manually for formula indicators because their scores are calculated from other indicators.,Indicators & Indicator Sources
What is the primary purpose of KPI Composer in Performance Analytics?,multiple-choice,To automatically collect indicator scores from tables,To align performance measurement strategy with business goals before implementation,To create dashboard widgets and visualizations,To schedule and run data collection jobs,,,,,,,,,,,,2,"KPI Composer helps elicit performance management requirements and drive stakeholder alignment by ensuring that goals, outcomes, and deliverables are aligned before implementers begin technical work.",Indicators & Indicator Sources
Which three tabs are included in a KPI Composer project UI? (Choose three.),multiple-choice,Analysis,Dashboard Design,Job Scheduling,Data Definition,Score Collection,,,,,,,,,,,"1,2,4","KPI Composer project UI has four tabs: Analysis, Dashboard Design, Data Definition, and Review. The first three are all part of the design process.",Indicators & Indicator Sources
Which role is required to create a new KPI Composer project?,multiple-choice,pa_viewer,sn_kpi_composer.user,pa_contributor,itil,,,,,,,,,,,,2,"The role sn_kpi_composer.user, sn_kpi_composer.admin, or admin is required to create a new KPI Composer project.",Indicators & Indicator Sources
What is the difference between a user with the sn_kpi_composer.admin role and one with sn_kpi_composer.user role regarding PA integration?,multiple-choice,Admin can view more projects than user,Admin can associate definitions with actual Performance Analytics indicators and breakdowns,Admin can create more projects than user,Admin has access to different tabs in KPI Composer,,,,,,,,,,,,2,A KPI Composer admin has full access to all projects AND can associate indicator and breakdown definitions with actual Performance Analytics indicators and breakdowns. A user role cannot perform this association.,Indicators & Indicator Sources
"In the Scoresheet, what does the percentage bar above each column of breakdown scores indicate?",multiple-choice,The percentage of the target achieved,The percentage of breakdown elements that contain scores,The percentage change from the previous period,The percentage of manual vs automated scores,,,,,,,,,,,,2,A percentage bar above each column of scores indicates the percentage of breakdown elements that contain scores. A value of 0 counts as a score; only the absence of any value counts as empty.,Indicators & Indicator Sources
An administrator wants to calculate the main score for an indicator by totaling all breakdown element scores. Which Scoresheet feature should they use?,multiple-choice,Calculate Total,Aggregate scores,Sum Elements,Consolidate Breakdowns,,,,,,,,,,,,2,Click Aggregate scores in the Scoresheet to choose whether to use Sum or Average of a specific breakdown to calculate the main scores for the indicator.,Indicators & Indicator Sources
Which statement is true regarding auditing of manual score changes in Performance Analytics?,multiple-choice,All manual changes are automatically audited,Manual changes are audited only when enabled at the table level,"Manual scoresheet changes are NOT audited, even when auditing is enabled",Only admin changes to scores are audited,,,,,,,,,,,,3,"Auditing does not track manual changes to the scoresheet. Manual inserts, updates, and deletions are not audited, even when auditing is enabled at the Dictionary level for all pa_scores tables.",Indicators & Indicator Sources
Which two levels of access can be granted when sharing a KPI Composer project? (Choose two.),multiple-choice,Full admin access,Can view (read-only),Can edit (read-write),Delete access,,,,,,,,,,,,"2,3","When sharing a KPI Composer project, you can grant either Can view (read-only) or Can edit (read-write) access.",Indicators & Indicator Sources
Where is KPI Composer available for download?,multiple-choice,System Update Sets,ServiceNow Store,Performance Analytics module,ServiceNow Community,,,,,,,,,,,,2,KPI Composer is available on the ServiceNow Store. Navigate to System Applications > Search ServiceNow Store to find and download it.,Indicators & Indicator Sources
What is the purpose of the Review tab in a KPI Composer project?,multiple-choice,To create indicator definitions,To design dashboard mock-ups,To verify design components and generate implementation tasks,To configure breakdown sources,,,,,,,,,,,,3,"In the Review phase, you verify the design components in your project, run a system definition health check, and generate a task list for implementing the project in Performance Analytics.",Indicators & Indicator Sources
"In the PA architecture, what must match between an indicator and its indicator source for data collection to work?",multiple-choice,The table reference,The indicator frequency,The breakdown configuration,The dashboard assignment,,,,,,,,,,,,2,The frequencies of the indicator and the indicator source must match. An indicator frequency is the frequency for which data is collected for an indicator.,CIS-PA
An indicator has additional conditions beyond those inherited from its indicator source. When does the system evaluate these additional conditions?,multiple-choice,When the indicator source is created,During the map/reduce function when processing each record,When the dashboard is rendered,When the data collection job is scheduled,,,,,,,,,,,,2,"During the map/reduce processing of each record, the system executes or evaluates any scripts and validates indicator conditions, including additional conditions set on the indicator.",CIS-PA
What happens when a data collection job encounters an indicator with a null score value?,multiple-choice,The null value is stored as zero,The null value is logged and a configured 'Value when nil' is stored,The indicator is skipped for that collection period,An error is logged and the job continues,,,,,,,,,,,,2,"Any indicator with a null value is logged, and the configured 'Value when nil' is stored as the score. The log shows entries like: Stored 'Value when nil': 0.0 as score for indicator.",CIS-PA
Which two fields does an indicator source contain? (Choose two.),multiple-choice,Reference to a business process table,Dashboard widget configuration,Conditions for filtering records of the table,Breakdown matrix settings,,,,,,,,,,,,"1,3","Indicator sources contain a reference to a business process table, a reference to a field with unique values, conditions for filtering records, and the indicator frequency.",CIS-PA
