Question,Question Type (multiple-choice or multi-select),Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Answer Option 7,Answer Option 8,Answer Option 9,Answer Option 10,Answer Option 11,Answer Option 12,Answer Option 13,Answer Option 14,Answer Option 15,Correct Response,Explanation,Knowledge Area
Which feature helps prevent scheduling conflicts between changes affecting the same Configuration Item?,multiple-choice,The Change Conflict detection feature that checks for overlapping change windows on the same CI,A UI Policy that prevents saving duplicate change records,The Assignment Rule that checks group workload,The SLA timer on the change record,,,,,,,,,,,,1,"ServiceNow's Change Conflict detection (also called Change Collision) identifies scheduling overlaps when multiple changes target the same CI or related CIs during overlapping time windows, preventing conflicting changes.",change-management
Which statement about Standard changes is NOT correct?,multiple-choice,Standard changes are pre-approved and don't require CAB review each time,Standard changes use templates for consistent implementation,Standard changes require a new risk assessment for every request,"Standard changes are low-risk, well-understood procedures",,,,,,,,,,,,3,Standard changes are pre-approved precisely because their risk has already been assessed and accepted. They do NOT require a new risk assessment each time — that would defeat the purpose of pre-approval.,change-management
How is data organized in ServiceNow?,multiple-choice,"Files, folders, and documents","Tables, records, fields, and values","Sheets, cells, and formulas","Objects, classes, and methods",,,,,,,,,,,,2,"In ServiceNow, data is organized in a database with tables, records, fields, and values. Tables store records, records contain fields, fields hold individual pieces of data, and values are accessed through fields and records.",Database Administration
What is a sys_id in ServiceNow?,multiple-choice,A user's login name,A unique 32-character ID that identifies each record,The table name,A field label,,,,,,,,,,,,2,Records have a unique 32-character ID called a sys_id. This identifier is automatically generated and uniquely identifies each record in the database.,Database Administration
What does a reference field store in ServiceNow?,multiple-choice,The full content of the referenced record,The unique sys_id of a record from another table,A copy of the referenced table,The URL of an external system,,,,,,,,,,,,2,"A reference field stores the unique sys_id of a record from another table, creating a link between them. This link makes fields from the reference table accessible in the form. Reference fields only connect to one table.",Database Administration
What happens when a table extends another table in ServiceNow?,multiple-choice,The parent table is deleted,The child table inherits all fields from its parent table along with its unique fields,Both tables become identical,The parent table can no longer be used,,,,,,,,,,,,2,"An extended table inherits all fields from its parent table along with its unique fields. When extending a table, all fields and properties from the parent table are inherited, while unique fields can be added to the child table.",Database Administration
Which of the following are examples of tables that extend the Task table?,multiple-choice,User and Group,"Incident, Problem, and Change Request",Location and Department,Knowledge and Article,,,,,,,,,,,,2,"Examples of parent tables in ServiceNow include the Task and Configuration Item tables, which are extended to create child classes like change, request, incident, and problem.",Database Administration
What is a base table in ServiceNow?,multiple-choice,A table that has been deleted,A table that serves as a foundation for other tables but isn't an extension itself,A temporary table for testing,A table that cannot have child tables,,,,,,,,,,,,2,A base table serves as a foundation for other tables but isn't an extension itself. A parent table without a parent is a base class. It can also be a parent and/or core table.,Database Administration
What is the purpose of a Schema Map in ServiceNow?,multiple-choice,To display user permissions,To visualize table relationships,To track system performance,To manage email notifications,,,,,,,,,,,,2,"The Schema Map visualizes table relationships. You can use the schema map to identify which columns originate on a table and which columns are inherited from parent tables, plus what tables are referenced.",Database Administration
What is the difference between a field name and a field label?,multiple-choice,They are always identical,"Field names are unique and may differ from labels, which are display names",Field labels are used in scripts; field names are for display,There is no difference,,,,,,,,,,,,2,"Field names are unique and may differ from labels. For instance, 'city' is the field name in the sys_user table for the label 'Location'. Labels are display names shown to users.",Database Administration
What type of field allows selecting multiple records from a table?,multiple-choice,Reference field,Choice field,GlideList field,String field,,,,,,,,,,,,3,"GlideList allows selecting multiple records from a table. For example, the Watch List field on the Incident table can link to multiple User table records. Reference fields only allow selecting one record.",Database Administration
What is the difference between scoped apps and global apps?,multiple-choice,Scoped apps are free; global apps require licensing,Scoped apps are sandboxed with restricted API; global apps have access to all parts of the system,Global apps are more secure than scoped apps,There is no difference,,,,,,,,,,,,2,Scoped apps are sandboxed from the system at large and utilize a restricted API to minimize or prevent damage outside their scope. Global apps have access to all parts of the system and can cause damage/impact beyond their intent.,Database Administration
"In the schema map, what do tables with blue bars indicate? (Choose two)",multiple-choice,Tables that extend the focused table,Tables that are referenced by the focused table,Child tables of the focused table,Deleted tables,,,,,,,,,,,,"1,3","In the schema map, tables with blue bars are tables that extend the focused table (child tables). Tables with red bars are tables that are referenced by the focused table.",Database Administration
What is a Document ID field used for?,multiple-choice,To store document attachments,To reference one record from any table,To create PDF exports,To store version history,,,,,,,,,,,,2,"Document ID fields allow selecting one record from any table, unlike reference fields which only connect to one specific table. Example: Document field in the Translated Text table.",Database Administration
What is the unique identifier for every record in ServiceNow?,multiple-choice,"A record number (e.g., INC0010001)",A 32-character sys_id,A combination of table name and row number,An auto-generated UUID,,,,,,,,,,,,2,"Every record in ServiceNow has a unique 32-character ID called a sys_id. Record numbers can auto-increment and their format can be changed, but the sys_id is the true unique identifier.",Database Administration
What is the difference between a base table and a core table in ServiceNow?,multiple-choice,"A base table is always a core table, but a core table is not always a base table","A base table serves as a foundation for extensions and is not itself an extension, while a core table comes with ServiceNow from the start","Base tables cannot have child tables, while core tables can",There is no difference; the terms are interchangeable,,,,,,,,,,,,2,"A core table comes with ServiceNow (existing from the start) and can be a parent, child, or base table. A base table serves as a foundation for other tables but isn't itself an extension. A table can be both core and base.",Database Administration
Which of the following are types of field relationships in ServiceNow? (Choose 2),multiple-choice,One-to-many (Reference field),Many-to-many,One-to-one-to-many,Circular reference,,,,,,,,,,,,"1,2","ServiceNow supports one-to-many relationships (using reference fields like Caller on Incident linking to User) and many-to-many relationships (connecting two or more tables so related records are visible in both, like students and classes).",Database Administration
What is the purpose of coalescing during a data import in ServiceNow?,multiple-choice,To merge multiple import set tables into one,To prevent duplicate records by using fields as unique keys,To convert data types during transformation,To automatically map fields between source and target tables,,,,,,,,,,,,2,"Coalesce prevents duplicate records during data import. It makes a field act as a unique key — if a match is found, the existing record is updated; if unmatched, a new record is created. Without coalescing, all imported rows are treated as new records.",Database Administration
What do update sets capture in ServiceNow?,multiple-choice,Both configuration changes and data records like incidents,Only data records created during the update set period,"Configuration and customization changes, but NOT data records",Only changes made by administrators with elevated privileges,,,,,,,,,,,,3,"Update sets capture customization or configuration changes like report definitions, but not actual data records. New incidents or change records are not included. To move data records, use the Export XML function.",Database Administration
What is the difference between global scope and application scope in ServiceNow?,multiple-choice,Global scope is for production only; application scope is for development,Global scope has access to all parts of the system; scoped apps are sandboxed with restricted API access,Application scope provides more permissions than global scope,There is no functional difference between the two,,,,,,,,,,,,2,"Scoped apps are sandboxed from the system at large and use a restricted API to minimize damage outside their scope. Global apps are the default scope and have access to all parts of the system, which means they can potentially cause impact beyond their intent.",Database Administration
"An administrator needs to import 5,000 user records from a CSV file. After the import, several records have incorrect department values. Which step in the import process most likely caused this issue?",multiple-choice,The Transform Map field mapping for Department used an incorrect coalesce field,The CSV file was too large to process,The import set table was not created,The user running the import lacked the admin role,,,,,,,,,,,,1,"When reference field mappings (like Department) use incorrect coalesce fields in the Transform Map, records may map to wrong values or create duplicates. The coalesce field determines how imported values match existing reference records.",database-administration
Which two field types in ServiceNow store references to records in other tables? (Choose 2),multiple-choice,Reference field,Glide List field,String field,Integer field,,,,,,,,,,,,"1,2",Reference fields store a single reference (sys_id) to a record in another table. Glide List fields store multiple references (comma-separated sys_ids) to records in another table.,database-administration
What is the purpose of a 'coalesce' field in a Transform Map?,multiple-choice,It determines whether to update an existing record or insert a new one during import,It combines multiple source columns into one target field,It encrypts sensitive data during import,It validates data format before insertion,,,,,,,,,,,,1,"A coalesce field acts as a unique identifier during data import. If a record with a matching coalesce value exists, it's updated; if not, a new record is inserted. This prevents duplicate records during imports.",database-administration
An administrator wants to create a field that automatically calculates the number of days between the Opened date and the Resolved date on an incident. Which field type is most appropriate?,multiple-choice,Duration field with a calculated default value,Integer field with a Business Rule to calculate the value,Formula field that references the two date fields,String field with a UI Policy to display the calculation,,,,,,,,,,,,2,An Integer field populated by a Business Rule (before insert/update) that calculates the day difference between opened_at and resolved_at is the most reliable approach. Business Rules ensure the value is always accurate when the record is saved.,database-administration
What is the maximum number of rows that can be displayed in a single list view by default in ServiceNow?,multiple-choice,20,100,500,Unlimited,,,,,,,,,,,,1,"By default, ServiceNow displays 20 rows per page in list views. This can be changed by the user (up to the system maximum) or by an administrator through the glide.ui.per_page system property.",database-administration
Which statement about table inheritance in ServiceNow is correct?,multiple-choice,Child tables inherit all fields and business logic from their parent table,Child tables share the same physical database table but cannot have additional fields,Parent table records are automatically duplicated in child tables,Table inheritance only works with the Task table,,,,,,,,,,,,1,"In ServiceNow's table inheritance model, child tables (extensions) inherit all parent fields, ACLs, business rules, and other configurations. Child tables can also define additional fields specific to their needs.",database-administration
What new Zurich application enables developers to work in isolated environments and merge code changes using Git without the risk of overwrites?,multiple-choice,Update Set Manager,Developer Sandboxes,Application Repository,Instance Clone,,,,,,,,,,,,2,"Developer Sandboxes is a new application in the Zurich release that enables administrators and delegated developers to request, access, and manage individual sandboxes on top of the same underlying development instance. Developers can write and merge code and configuration changes without the risk of getting their changes overwritten.",Platform Administration
"Which new Zurich application provides access to external data from Snowflake, BigQuery, and Databricks without copying it to your ServiceNow instance?",multiple-choice,Data Import Manager,External Data Connector,Workflow Data Fabric Hub,Integration Hub,,,,,,,,,,,,3,"Workflow Data Fabric Hub is a new application in the Zurich release that unifies data from across the enterprise, providing access to external data in real time without needing to copy it to your instance. It supports Snowflake, Google BigQuery, Amazon Redshift, Databricks, and Oracle.",Platform Administration
"In Zurich, which new Flow Designer capability allows you to define a schedule once and use it across multiple flows?",multiple-choice,Shared Flow Templates,Reusable Scheduled Trigger,Flow Schedule Library,Trigger Inheritance,,,,,,,,,,,,2,"The Zurich release adds the ability to create a reusable scheduled trigger in Flow Designer. This allows you to define a schedule once and reuse it across multiple flows, reducing duplication and ensuring consistency.",Self-Service & Automation
What JavaScript standard is now supported in Zurich that enables Promises and async/await in server-side scripting?,multiple-choice,ECMAScript 2015 (ES6),ECMAScript 2018 (ES9),ECMAScript 2021 (ES12),ECMAScript 2023 (ES14),,,,,,,,,,,,3,"The Zurich release supports ECMAScript 2021 (ES12) JavaScript mode, which enables additional scripting features including Promises and async/await for server-side scripting.",Database Administration
Which new ATF (Automated Testing Framework) feature in Zurich helps identify why tests failed more quickly?,multiple-choice,Test Replay,ATF Failure Insights,Debug Mode,Error Analyzer,,,,,,,,,,,,2,"The Zurich release added ATF Failure Insights, a new feature that helps with faster test failure resolution by providing detailed information about why tests failed.",Platform Administration
Which AI model providers are now supported by Now Assist in the Zurich release? (Choose the best answer),multiple-choice,Only OpenAI GPT models,"Gemini, Claude, and Azure OpenAI",Only ServiceNow proprietary models,IBM Watson and Google BERT,,,,,,,,,,,,2,"The Zurich release enhances Now Assist with support for top AI model providers including Gemini, Claude, and Azure OpenAI, providing organizations with flexibility in their AI implementations.",Self-Service & Automation
What is the primary goal of Incident Management in ServiceNow?,multiple-choice,To identify the root cause of issues,To restore normal service operation as quickly as possible,To prevent incidents from occurring,To document all IT changes,,,,,,,,,,,,2,The primary goal of Incident Management is to restore normal service operation as quickly as possible while minimizing the impact on business operations.,Incident Management
How is incident Priority calculated in ServiceNow by default?,multiple-choice,Manually set by the caller,Based on Impact and Urgency,Based on the assignment group,Based on the category selected,,,,,,,,,,,,2,"In ServiceNow, incident Priority is calculated using a Priority Lookup matrix based on Impact and Urgency values. Impact measures the effect on business operations, while Urgency measures how quickly the issue needs to be resolved. This follows ITIL best practices.",Incident Management
Which incident state indicates that work has started but is not yet complete?,multiple-choice,New,In Progress,On Hold,Resolved,,,,,,,,,,,,2,The 'In Progress' state indicates that an agent has begun working on the incident but has not yet resolved it.,Incident Management
What is the difference between closing and resolving an incident?,multiple-choice,There is no difference; they are the same action,Resolved means a solution was applied; Closed means the caller confirmed resolution,Closed is temporary; Resolved is permanent,Only managers can close; anyone can resolve,,,,,,,,,,,,2,An incident is marked as 'Resolved' when the IT team has applied a solution. It moves to 'Closed' after the caller confirms the resolution is satisfactory or after a configured waiting period. This two-stage approach ensures customer satisfaction.,Incident Management
What ServiceNow feature automatically assigns incidents to appropriate groups based on criteria?,multiple-choice,Data Policies,Assignment Rules,Business Rules,UI Policies,,,,,,,,,,,,2,"Assignment Rules automatically assign incidents to specific users or groups based on matching conditions like category, configuration item, or location.",Incident Management
"In the context of Major Incident Management, what is the purpose of a Major Incident task?",multiple-choice,To track individual work items during major incident resolution,To automatically escalate to management,To create a Problem record,To notify all users of the outage,,,,,,,,,,,,1,Major Incident tasks are child records of the Major Incident that track specific work items and activities during the resolution process. They help coordinate multiple team members working on different aspects of the major incident simultaneously.,Incident Management
Which of the following are valid incident states in ServiceNow? (Select all that apply),multiple-choice,New,In Progress,Pending,On Hold,,,,,,,,,,,,"1,2,4","The default incident states in ServiceNow include New, In Progress, On Hold, Resolved, and Closed. 'On Hold' is used when waiting for external input.",Incident Management
What table stores incident records in ServiceNow?,multiple-choice,task,incident,sc_request,ticket,,,,,,,,,,,,2,"Incident records are stored in the 'incident' table. This table extends the 'task' table, inheriting common fields.",Incident Management
"When an incident is reopened, which field is typically incremented to track this?",multiple-choice,Priority,Reopen count,Escalation level,Urgency,,,,,,,,,,,,2,"When a resolved or closed incident is reopened, the 'Reopen count' field is incremented. This field helps track incidents that are frequently reopened, which may indicate underlying problems that need to be addressed through Problem Management.",Incident Management
What is the purpose of the 'Configuration Item' field on an incident?,multiple-choice,To track the cost of the incident,To identify the affected service or hardware,To assign the incident to a technician,To categorize the incident type,,,,,,,,,,,,2,"The Configuration Item (CI) field links the incident to a specific item in the CMDB (Configuration Management Database), identifying the affected hardware, software, or service. This helps with impact analysis and routing incidents to the correct support team.",Incident Management
Which role is typically required to resolve incidents in ServiceNow?,multiple-choice,admin,itil,incident_manager,approver_user,,,,,,,,,,,,2,"The 'itil' role provides the standard permissions needed to create, update, and resolve incidents in ServiceNow. The 'itil' role is designed specifically for IT service desk personnel.",Incident Management
What is an SLA (Service Level Agreement) breach in the context of incidents?,multiple-choice,When a customer cancels their contract,When an incident exceeds its agreed response or resolution time,When too many incidents are created in a day,When an incident is assigned to the wrong group,,,,,,,,,,,,2,An SLA breach occurs when an incident exceeds the agreed-upon response time or resolution time defined in the Service Level Agreement. ServiceNow tracks SLA timers and can trigger escalations or notifications when breaches are imminent or occur.,Incident Management
"A system administrator wants to automatically set the category, priority, and assignment group for incoming incidents based on their short description. Which feature should they configure?",multiple-choice,Business Rules,Predictive Intelligence,Flow Designer,UI Policies,,,,,,,,,,,,2,"Predictive Intelligence uses machine learning to automatically set the category, priority, and assignment for an incident from its short description, saving time and ensuring proper handling.",Incident Management
Which ServiceNow feature allows agents to have real-time discussions about a specific incident record?,multiple-choice,Activity Stream comments,Sidebar discussions,Email notifications,Knowledge base articles,,,,,,,,,,,,2,"Sidebar discussions help share information to solve issues quickly. When a sidebar discussion is created, a tile appears in the activity stream. Users with access to the task record can join the discussion.",Incident Management
What is the primary purpose of the CMDB Dependency View in relation to incident management?,multiple-choice,To automatically create incidents for failing CIs,To visualize relationships between configuration items and understand impact of issues,To assign incidents to the correct support group,To generate SLA reports for incident resolution,,,,,,,,,,,,2,"The Dependency View map helps visualize relationships between configuration items in your infrastructure, showing upstream and downstream dependencies. Icons indicate if a CI has active or pending issues, helping improve incident management processes.",Incident Management
What information does the Now Assist Admin Console provide?,multiple-choice,Only incident management analytics,AI features management and configuration across the ServiceNow platform,User administration and role management,CMDB health monitoring only,,,,,,,,,,,,2,"The Now Assist Admin Console lets administrators use and manage AI features across the ServiceNow platform, including capabilities like predictive intelligence for incident management.",Incident Management
An administrator needs to notify the IT Product Owner whenever a Priority 1 incident is created. Which module should they use?,multiple-choice,System Properties > Email,System Notification > Email > Notifications,System Policy > Events,System Logs > Email Log,,,,,,,,,,,,2,"To create a new email notification, navigate to All > System Notification > Email > Notifications. From there, administrators can specify when to send the notification, who receives it, and what content is included.",Incident Management
Which workspace facilitates IT service management workflows for managing tasks like incidents and requests?,multiple-choice,Employee Center Portal,Service Operations Workspace,CMDB Workspace,Customer Service Portal,,,,,,,,,,,,2,The Service Operations Workspace facilitates IT service management workflows by managing tasks like incidents and requests. Employee Center Portal is for employee self-service needs.,Incident Management
Multiple users report the same email service outage. An administrator has already created a Major Incident. What should be done with the individual incident tickets?,multiple-choice,Associate them as child incidents to the Major Incident,Delete all duplicate incidents,Merge them into a single incident record,Close them as 'Not Reproducible',,,,,,,,,,,,1,"Child incidents should be associated with the Major Incident (parent). This maintains individual user tracking while consolidating the resolution effort. When the Major Incident is resolved, child incidents can be batch-resolved.",incident-management
Which statements about SLA (Service Level Agreement) tracking on incidents are true? (Choose 2),multiple-choice,SLAs can trigger notifications when approaching breach time,SLA timers pause automatically when an incident is in a 'Pending' state,"SLAs can only measure resolution time, not response time",SLA definitions cannot use conditions to match specific incident types,,,,,,,,,,,,"1,2","SLAs support escalation notifications at configured thresholds (e.g., 50%, 75% of target time). SLA timers pause based on configured pause conditions, commonly when incidents are in Pending/Awaiting states, ensuring time isn't counted when the service desk is waiting on the caller.",incident-management
What is the purpose of an 'Assignment Rule' in Incident Management?,multiple-choice,To automatically assign incidents to specific groups or users based on defined conditions,To restrict which users can view incidents,To set the priority of incoming incidents,To define SLA targets for incident resolution,,,,,,,,,,,,1,"Assignment Rules automatically route incidents to the appropriate assignment group or individual based on conditions like category, configuration item, or location, ensuring efficient ticket routing.",incident-management
An incident has been resolved but the caller disagrees with the resolution and wants it reopened. What state should the incident be changed to?,multiple-choice,In Progress,New,On Hold,Active — by creating a new incident referencing the original,,,,,,,,,,,,1,"When a resolved incident is reopened due to caller dissatisfaction, it should be moved back to 'In Progress' to continue the investigation. This maintains the original incident record and tracks the reopen in the activity log.",incident-management
How does ServiceNow calculate incident Priority by default?,multiple-choice,Using a Priority Lookup matrix that combines Impact and Urgency values,The caller manually selects the priority when creating the incident,Based solely on the assignment group's workload,Using AI to analyze the short description text,,,,,,,,,,,,1,"ServiceNow uses a Priority Lookup Rules data lookup that calculates Priority based on the combination of Impact (scope of effect) and Urgency (time sensitivity). For example, Impact: High + Urgency: High = Priority: 1 - Critical.",incident-management
What is the purpose of the 'Caller' field on an Incident record?,multiple-choice,It identifies the user who reported or is affected by the incident,It shows which phone line the call came in on,It determines the assignment group for the incident,It sets the SLA target for the incident,,,,,,,,,,,,1,"The Caller field identifies the person who reported the incident or is affected by it. This is used for communication, tracking, and may influence routing and SLA calculations based on the caller's VIP status or location.",incident-management
What is the primary goal of Problem Management?,multiple-choice,To restore service as quickly as possible,To identify and resolve the underlying cause of one or more incidents,To approve and implement changes,To fulfill service requests,,,,,,,,,,,,2,Problem Management refers to the process of identifying and resolving the underlying cause of one or more incidents. It involves investigating the root cause and implementing long-term solutions or workarounds to prevent similar incidents from occurring in the future.,Problem Management
What is the Known Error Database (KEDB)?,multiple-choice,A list of all incidents in the system,A repository of problem records designated as known issues,A database of user credentials,A collection of change requests,,,,,,,,,,,,2,The known error database is a repository of problem records that a company has designated as known issues. These problems can be active (root cause still under investigation) or closed (investigation complete with workaround).,Problem Management
What is the difference between reactive and proactive problem detection?,multiple-choice,Reactive requires approval; proactive does not,Reactive is triggered by incidents; proactive identifies problems through trend analysis before incidents occur,Reactive is automated; proactive is manual,There is no difference between them,,,,,,,,,,,,2,"If a problem is detected reactively, one or more incidents have already taken place, prompting an investigation. Proactive problem detection identifies problems through trend analysis or other means before incidents occur.",Problem Management
Which role is required to reopen a problem record in ServiceNow?,multiple-choice,problem_admin,problem_task_analyst,problem_manager,itil,,,,,,,,,,,,3,"The problem_manager role is required to reopen a problem record. This user can create and update problems, problem tasks, and related records, administer problem properties, and is the only role that can reopen a problem record.",Problem Management
What are the three main stages of the problem lifecycle?,multiple-choice,"Create, Assign, Close","Detection and Logging, Investigation and Diagnosis, Resolution and Closure","New, In Progress, Resolved","Submit, Review, Approve",,,,,,,,,,,,2,"The lifecycle for managing problems starts with detecting and logging them, then moving into investigation and diagnosis, and finally concluding with resolution and closure.",Problem Management
What is the purpose of a workaround in Problem Management?,multiple-choice,To permanently fix the root cause,To provide a temporary solution while investigating the permanent fix,To close all related incidents,To assign the problem to a different team,,,,,,,,,,,,2,A workaround provides a temporary solution or mitigation that allows service to continue while the root cause is being investigated. Known errors can have documented workarounds that are used instead of a permanent solution.,Problem Management
Multiple users report the same network connectivity issue. What should the service desk do?,multiple-choice,Create separate incidents and wait for them to resolve themselves,Create incidents and a problem record to investigate the root cause,Ignore the reports until a manager intervenes,Submit a change request immediately,,,,,,,,,,,,2,A problem can arise when the same or similar incidents occur repeatedly. Creating a problem record allows investigation of the root cause while incidents handle the immediate user impact. The problem investigation aims to prevent future occurrences.,Problem Management
What tabs are available on the Problem form for documenting investigation details? (Choose two),multiple-choice,Analysis Information,Service Level Agreements,Resolution Information,Approval History,,,,,,,,,,,,"1,3","The form has tabs including Analysis Information (for root cause and workarounds), Resolution Information (for permanent fix details), and Other Information (for reporter details). The Notes tab is also available for work notes.",Problem Management
How does the CMDB support problem management processes?,multiple-choice,By automatically resolving problems when CIs are updated,By providing insights for troubleshooting through CI relationships and dependencies,By creating problem records whenever a CI is added,By generating root cause analysis reports automatically,,,,,,,,,,,,2,"The CMDB stores information about all components of an information system. Every service management process involves the CMDB. If there's an issue and you need to find the root cause, the CMDB provides valuable insights for troubleshooting through CI relationships.",Problem Management
