Question,Question Type (multiple-choice or multi-select),Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Answer Option 7,Answer Option 8,Answer Option 9,Answer Option 10,Answer Option 11,Answer Option 12,Answer Option 13,Answer Option 14,Answer Option 15,Correct Response,Explanation,Knowledge Area
"Which of the following statements about change states are true?
a) A change in the New state has not yet been submitted for review.
b) The Assess state indicates that peer review and technical approvals are being conducted.
c) A change can be placed On Hold from any state including New, Canceled, and Closed.
d) A change can only be closed once all active change tasks are closed or canceled.",multiple-choice,"a, b, c, and d","a, b, and d",a and b only,"b, c, and d",,,,,,,,,,,,2,"Statements a, b, and d are true. Statement c is false — a change can be placed On Hold EXCEPT when in New, Canceled, or Closed state. The course explicitly states these three states are excluded from On Hold.",Change Management
What happens when a change is rejected by the CAB during the approval stage?,multiple-choice,The change is automatically canceled,The change is reverted to the New state with required rejection comments,The change is placed On Hold pending review,The change is escalated to ECAB for secondary review,,,,,,,,,,,,2,"When a change is rejected by CAB, comments are required to explain why, and the change is reverted to the New state. This allows the requester to revise the change and resubmit it.",Change Management
"During an unauthorized change, what happens after the change is approved?",multiple-choice,The change is immediately closed,A change task is generated with state Review and short description 'Post-implementation Review',The change reverts to Scheduled state for proper implementation,An incident is automatically created to track the unauthorized activity,,,,,,,,,,,,2,"After an unauthorized change is approved, a change task is generated with the state field set to Review and a short description of 'Post-implementation Review'. The Change Management Group is responsible for this task.",Change Management
What new prerequisite is required before taking the CIS-ITSM exam as of the Zurich release?,multiple-choice,CSA certification,CIS-DF (Data Foundations) certification,ITIL Foundation certification,CAD certification,,,,,,,,,,,,2,"As of the Zurich release, CIS-DF (Data Foundations / CMDB & CSDM) is a required prerequisite for the CIS-ITSM certification.",ITSM Overview
What Zurich Change Management enhancement uses AI to assist with scheduling and risk assessment?,multiple-choice,Change Calendar,"AI-powered scheduling, impact analysis, and risk mitigation",CAB Workbench,Standard Change Templates,,,,,,,,,,,,2,"Zurich enhances Change Management with AI-powered scheduling, impact analysis, and risk mitigation capabilities.",Change Management
What Digital End-user Experience (DEX) improvement in Zurich allows fixing multiple issues at once?,multiple-choice,Single remediation,Bulk remediation,Auto-remediation,Scheduled remediation,,,,,,,,,,,,2,"Zurich DEX improvements include bulk remediation capabilities, allowing administrators to fix multiple issues at once.",Incident Management
What new Workspace feature in Zurich allows agents to draft communications while working on other tasks?,multiple-choice,Side panel editor,Pop-out Compose editor as a modeless dialog,Inline text editor,Quick reply templates,,,,,,,,,,,,2,"Zurich adds support to open the Compose editor as a pop-out, modeless dialog to draft comments, work notes, and emails while working on other tasks.",Incident Management
Which AI model providers does Zurich Now Assist support for ITSM agents?,multiple-choice,Only ServiceNow proprietary models,"Gemini, Claude, and Azure OpenAI",Only OpenAI GPT models,IBM Watson only,,,,,,,,,,,,2,"Zurich Now Assist supports multiple AI model providers including Gemini, Claude, and Azure OpenAI, providing flexibility for organizations.",ITSM Overview
What new self-service capability was added to DEX in Zurich?,multiple-choice,Chat-only support,Self-service voice agents,Email-only support,SMS notifications,,,,,,,,,,,,2,"Zurich DEX improvements include self-service voice agents, allowing users to interact with the system using voice.",Incident Management
What is the primary objective of Incident Management in ServiceNow?,multiple-choice,To identify the root cause of all service disruptions,To restore normal service operation as quickly as possible,To implement permanent fixes for all reported issues,To prevent all future incidents from occurring,,,,,,,,,,,,2,"The primary goal of Incident Management is to restore normal service operation as quickly as possible, minimizing the adverse impact on business operations. This may involve applying temporary workarounds rather than permanent fixes. Root cause analysis is the responsibility of Problem Management.",Incident Management
Which incident state indicates that the service issue has been fixed but is waiting for user confirmation?,multiple-choice,Closed,On Hold,Resolved,In Progress,,,,,,,,,,,,3,"The Resolved state indicates that the service issue has been fixed, but the system is waiting for the user to confirm that the service has been restored. After confirmation or a timeout period (default 7 days), the incident moves to Closed.",Incident Management
When does the SLA clock for incident resolution end?,multiple-choice,When the incident is assigned to a group,When the incident state is set to Closed,When the incident state is set to Resolved,When the Assigned To field is populated,,,,,,,,,,,,3,"The SLA clock for resolution ends when the state is set to Resolved. The response SLA ends when the Assigned To field is completed and state is In Progress, but the resolution SLA continues until Resolved.",Incident Management
"Which roles provide the ability to create, update, and resolve incidents? (Select two)",multiple-choice,itil,sn_incident_read,itil_admin,incident_viewer,,,,,,,,,,,,"1,3","The ITIL role enables an individual to create, update, and resolve incidents while providing read-write access to the CMDB. The ITIL_admin role can perform additional tasks including closing and deleting incidents. The sn_incident_read role only provides read access.",Incident Management
What happens to child incidents when a parent incident is marked as Resolved?,multiple-choice,Child incidents remain in their current state,Child incidents are automatically deleted,Child incidents are also set to Resolved,Child incidents are moved to On Hold,,,,,,,,,,,,3,"When a parent incident is marked as Resolved, the same status is applied to all child incidents. Additionally, any notes, codes, comments, or work notes associated with the parent incident are automatically duplicated in the child incidents.",Incident Management
What is the default time period for an incident to remain in the Resolved state before automatically closing?,multiple-choice,24 hours,3 days,7 days,14 days,,,,,,,,,,,,3,"The standard default time for an incident to remain in a Resolved state is 7 days. If the user takes no action within this time frame, the incident will automatically be closed. This can be configured to meet specific organizational needs.",Incident Management
A user reports they cannot access an application. Investigation reveals all users are affected because an application job is hung. What should Incident Management focus on?,multiple-choice,Determine why the job hung and prevent recurrence,Remove the hung job so users can access the application,Create a Problem record and wait for root cause analysis,Escalate to Change Management for a permanent fix,,,,,,,,,,,,2,"Incident Management focuses on restoring service quickly. In this case, removing the hung job will restore access. Determining why the job hung and preventing recurrence is the focus of Problem Management, not Incident Management.",Incident Management
What does the SLA Timeline indicator color RED signify?,multiple-choice,The task SLA is below 50% of defined duration,The task SLA is between 75% and 100%,The task has exceeded the defined SLA duration,The task SLA is paused,,,,,,,,,,,,3,"A task will be indicated in red if it exceeds the defined SLA duration (breached). Green is below 50%, yellow is 50-75%, orange is 75-100%, and gray indicates the task is paused.",Incident Management
Which of the following are characteristics of Major Incidents? (Select two),multiple-choice,They exceed the standard priority matrix,They always require Change Management approval,They impact a significant number of users,They can only be created manually,,,,,,,,,,,,"1,3",Major incidents exceed the standard priority matrix and have the greatest impact and urgency. They impact a significant number of users and deprive the business of vital services. They can be created by automated trigger rules or manually.,Incident Management
What happens to the SLA clock when an incident is placed On Hold?,multiple-choice,The SLA clock continues running,The SLA clock is permanently stopped,The SLA clock may be paused,The SLA is canceled and a new one begins,,,,,,,,,,,,3,The SLA clock may be paused when the state is set to On Hold. The agent must reset the state to In Progress to restart the SLA clock. Whether it pauses depends on the SLA configuration.,Incident Management
A parent incident is reopened by the end user after it was closed. What happens to the child incidents?,multiple-choice,Child incidents are also reopened and set to In Progress,Child incidents remain closed,Child incidents are automatically deleted,Child incidents are set to On Hold,,,,,,,,,,,,2,"When a parent incident is reopened by the end user, the parent state is set to In Progress, but the child incidents remain closed. This is an exception to the normal parent-child behavior where changes to the parent typically affect children.",Incident Management
Which field should be used to communicate with affected users about incident status updates?,multiple-choice,Work notes,Additional comments,Short description,Resolution notes,,,,,,,,,,,,2,"The Additional Comments field is used for customer-facing communication. Support teams can communicate with users through this field, and it triggers email notifications. Work notes are only visible to internal users.",Incident Management
Which methods can be used to create an incident in ServiceNow? (Choose three.),multiple-choice,Record Producers in the Service Catalog,Direct database insertion via SQL,Virtual Agent conversation,Walk-up Experience escalation,Modifying the CMDB schema directly,,,,,,,,,,,"1,3,4","Incidents can be created via Record Producers in the Service Catalog (which copy user input to auto-populate incident fields), Virtual Agent conversations, Walk-up Experience (when unresolved at walk-up location), phone calls to service desk, Universal Request, and third-party integrations.",Incident Management
What color does the SLA Timeline indicator display when a task SLA is between 50% and 75% of the defined duration?,multiple-choice,Green,Yellow,Orange,Red,,,,,,,,,,,,2,"Yellow represents a task SLA stage between 50% and 75% of the defined SLA duration. Green is below 50%, orange is 75-100%, and red indicates a breached SLA (exceeds 100%).",Incident Management
Which of the following is NOT a valid incident state in ServiceNow?,multiple-choice,In Progress,Assessed,On Hold,Canceled,,,,,,,,,,,,2,"Assessed is a state used in Problem Management, not Incident Management. Valid incident states are: New, In Progress, On Hold, Resolved, Closed, and Canceled.",Incident Management
"Which of the following statements about Incident Management communication are true?
a) Work Notes are visible only to internal users.
b) Additional Comments trigger email notifications to the caller.
c) The Activity section records all state changes, emails, and attachments.
d) Work Notes automatically notify the caller about investigation progress.",multiple-choice,"a, b, c, and d","a, b, and c","b, c, and d",a and c only,,,,,,,,,,,,2,"Statements a, b, and c are true. Work Notes are internal-only, Additional Comments communicate with users (triggering notifications), and the Activity/Notes tab records all changes. Statement d is false — Work Notes do NOT notify the caller; they are internal communication only.",Incident Management
Which two plugins must be activated to enable Universal Request integration for Incident Management? (Choose two.),multiple-choice,sn_uni_req (Universal Request),sn_inc_uni_req (Universal Request Integration for Incident Management),sn_incident_write (Incident Write Access),sn_itsm_workspace (ITSM Workspace),,,,,,,,,,,,"1,2","To integrate Universal Request with Incident Management, you must activate both the sn_uni_req (Universal Request) plugin and the sn_inc_uni_req (Universal Request Integration for Incident Management) plugin.",Incident Management
An incident has a Priority 3 and the SLA clock is running. The priority is changed to Priority 1. What happens to the SLA?,multiple-choice,The existing SLA continues unchanged,"The previous SLA is canceled and a new one begins, but the SLA clock does not reset",The previous SLA is canceled and a new one begins with the clock reset to zero,Both SLAs run simultaneously until the incident is resolved,,,,,,,,,,,,2,"When the priority of an incident changes, the previous SLA is canceled and a new one begins. However, the SLA clock does not reset — it continues from where it was. This ensures elapsed time is tracked accurately.",Incident Management
Which role holds the authority to manage incident properties and trigger major incident workflows?,multiple-choice,itil,itil_admin,incident_manager,sn_incident_write,,,,,,,,,,,,3,"The incident_manager role holds the authority to manage properties and trigger major incident roles. The ITIL role enables creating/updating/resolving incidents, and itil_admin adds closing/deleting capabilities.",Incident Management
What is the primary purpose of the Incident Communications Management application?,multiple-choice,To assign incidents to the correct support groups,To manage and streamline communication during major incidents,To automatically resolve incidents based on knowledge articles,To generate SLA reports for incident resolution times,,,,,,,,,,,,2,"The Incident Communications Management application is designed to manage communication during major incidents effectively. It allows creating communication plans, assigning contact responsibilities, sending SMS/voicemail notifications, setting up conference calls, and enabling self-service users to subscribe to incident communication plans.",Incident Management
Which of the following best describes a 'service' in the context of IT Service Management?,multiple-choice,A software application installed on user devices,A capability provided by IT to meet a business need,A hardware component in the data center,A support ticket submitted by an end user,,,,,,,,,,,,2,"A service is defined as a capability provided by an IT organization to meet a particular business need. Examples include email, network access, software applications, and cloud storage. This aligns with ITIL best practices for service-oriented IT delivery.",ITSM Overview
What is the relationship between the CMDB and CSDM in ServiceNow?,multiple-choice,CSDM replaces the CMDB in newer ServiceNow releases,CSDM is a framework that enhances how data is modeled in the CMDB,CMDB is a subset of CSDM that stores only hardware assets,CSDM and CMDB are separate products that cannot be used together,,,,,,,,,,,,2,"CSDM (Common Service Data Model) is a best-practice framework for CMDB data modeling and management. It enhances the CMDB by providing standardized terms, definitions, and relationships that link business and technical aspects. CSDM is not code to install but guidelines for modeling data within the CMDB.",ITSM Overview
Which applications are included in ITSM Standard but NOT in ITSM Pro or Enterprise exclusively? (Select two),multiple-choice,Incident Management,Predictive Intelligence,Change Management,Virtual Agent with AI,,,,,,,,,,,,"1,3","ITSM Standard includes core applications: Incident Management, Problem Management, Change Management, Asset and Cost Management, and Request Management. ITSM Pro adds advanced capabilities like Predictive Intelligence (AI-powered routing) and Virtual Agent with AI capabilities. ITSM Pro includes all Standard features plus the advanced ones.",ITSM Overview
What is the purpose of Service Portfolio Management in ServiceNow ITSM?,multiple-choice,To manage incident escalation paths,To consolidate information for managing and organizing services,To configure change approval workflows,To generate performance reports for management,,,,,,,,,,,,2,"Service Portfolio Management is a centralized application that consolidates information for portfolio managers and service owners to develop a service pipeline aligned with organizational requirements. It helps prevent service duplication and overlap, enables identification and retirement of low-value services, and allows resources to be repurposed efficiently.",ITSM Overview
Which persona is responsible for ensuring that processes are followed and run efficiently in ServiceNow ITSM?,multiple-choice,End User,Agent Fulfiller,Process Manager,Service Owner,,,,,,,,,,,,3,"The Process Manager is responsible for ensuring that processes are followed and run efficiently. They may be the assigned manager of one or more groups. Process Owners, by contrast, are responsible for creating process models and identifying KPIs. Service Owners are responsible for the entirety of a service.",ITSM Overview
What is the ITIL role in ServiceNow used for?,multiple-choice,To provide administrative access to all platform features,To enable help desk agents to perform standard ITSM interactions,To grant read-only access to incident records,To allow users to approve change requests,,,,,,,,,,,,2,"The ITIL role is the fundamental ITSM role that allows individuals to perform standard interactions for a help desk agent. Users with this role can open, update, and close incidents, problems, changes, and configuration management items. Out of the box, only users with the ITIL role can have tasks assigned to them.",ITSM Overview
Which are the five domains of CSDM (Common Service Data Model)? (Select two correct domains),multiple-choice,Design,Incident,Sell/Consume,Remediation,,,,,,,,,,,,"1,3","CSDM contains five interconnected domains: 1) Foundations - underlying data layer, 2) Design - planning and investing in digital products, 3) Build - development details, 4) Sell/Consume - services available in the catalog, and 5) Manage Technical Services - deployed instances and infrastructure. Incident and Remediation are not CSDM domains.",ITSM Overview
"An organization wants to provide employees with a unified interface for submitting IT requests, HR requests, and Facilities requests. Which ServiceNow interface is designed for this purpose?",multiple-choice,Service Operations Workspace,Employee Center Portal,Now Mobile Agent,Configuration Management Database,,,,,,,,,,,,2,"The Employee Center Portal is a versatile and interactive portal designed for service delivery and employee engagement across multiple departments. It enables organizations to organize service solutions across departments like IT, HR, Workplace, Legal, and Procurement with digital workflows.",ITSM Overview
Which two schedule types are commonly used for On-Call Scheduling in ServiceNow? (Choose two.),multiple-choice,24/7 schedule for continuous task coverage,Follow-the-sun schedule for global support,Business-hours-only schedule,Seasonal rotation schedule,,,,,,,,,,,,"1,2",ServiceNow On-Call Scheduling supports 24/7 schedules for organizations seeking continuous task coverage and follow-the-sun schedules that cater to various time zones for global support. Holidays can also be managed to allow shift users to take time off.,ITSM Overview
Which application allows service owners to track and analyze how services are performing from a single integrated interface?,multiple-choice,Performance Analytics,Service Owner Workspace,Vendor Manager Workspace,Service Portfolio Management,,,,,,,,,,,,2,Service Owner Workspace provides service owners with a single window to manage and monitor portfolios and services in one integrated and graphically intuitive user interface. It allows tracking and analyzing service performance and identifying services that need attention.,ITSM Overview
Which of the following is NOT a feature of the Now Mobile application for ITSM?,multiple-choice,View request status and requested items,Submit and track service requests,Manage incident escalation workflows,"Complete tasks, surveys, and assessments",,,,,,,,,,,,3,"Now Mobile allows users to view request status, submit/track requests, complete tasks/surveys/assessments, and receive notifications. Managing incident escalation workflows is an administrative function done in the desktop interface, not the end-user mobile app.",ITSM Overview
What capability does the Now Agent mobile app provide that distinguishes it from the Now Mobile app?,multiple-choice,It allows end users to submit service requests,It enables IT agents to work on incidents from mobile/tablet devices with offline capability,It provides access to the Service Catalog,It sends push notifications for approvals,,,,,,,,,,,,2,"Now Agent is designed for IT service agents (resolvers), enabling them to access incidents via mobile and tablet devices, work offline, and track their location. Now Mobile is for end users; Now Agent is for resolvers.",ITSM Overview
What is the primary goal of Problem Management?,multiple-choice,To restore service as quickly as possible,To identify the root cause and prevent future incidents,To approve and implement changes,To manage the service catalog,,,,,,,,,,,,2,"Problem Management aims to identify the root cause of incidents, find feasible workarounds, and implement permanent solutions that prevent future occurrences. Unlike Incident Management which focuses on quick restoration, Problem Management focuses on long-term prevention.",Problem Management
What is the Known Error Database (KEDB)?,multiple-choice,A list of all open incidents,A repository of problem records designated as known issues,A database of all configuration items,A collection of change requests,,,,,,,,,,,,2,The Known Error Database is a repository of problem records that a company has designated as known issues. These problems can be active (still under investigation) or closed (with a workaround in use instead of a permanent solution).,Problem Management
What happens when a problem record is assigned and saved?,multiple-choice,The status changes from New to Closed,The status changes from New to Assess,The status remains in New state,The status changes directly to Root Cause Analysis,,,,,,,,,,,,2,"After saving the assigned problem, its status changes from New to Assess. The support group property automatically fills the Assignment Group field, and at this point, investigation for similar incidents and duplicates can begin.",Problem Management
Which two questions should Root Cause Analysis focus on answering? (Select two),multiple-choice,What happened?,Who is responsible?,Why did it happen?,How much did it cost?,,,,,,,,,,,,"1,3","During root cause analysis, the focus should be on finding answers to two key questions: What happened? And Why did it happen? This systematic approach helps identify underlying causes rather than just treating symptoms.",Problem Management
Which role is the only one that can reopen a problem record?,multiple-choice,problem_admin,problem_task_analyst,problem_manager,itil,,,,,,,,,,,,3,"The problem_manager role enables a user to create and update problems, problem tasks, and related records. This user can also administer problem properties, and this is the only role that can reopen a problem record.",Problem Management
How can the problem owner share a workaround with related incidents?,multiple-choice,By manually updating each incident record,By clicking 'Communicate Workaround' which updates the Additional Comments field,By sending a separate email to each incident caller,By closing all related incidents automatically,,,,,,,,,,,,2,"The problem owner can communicate the workaround to affected incidents by clicking the appropriate link, which places the workaround in the Additional Comments field on related incidents so callers and anyone on the watch list receive the update.",Problem Management
"A workaround has been implemented for a problem, but no permanent solution will be pursued due to cost. What happens to the problem record?",multiple-choice,It is deleted from the system,It is marked Resolved but remains in the Known Error Database,It stays in the Fix In Progress state indefinitely,It is automatically converted to a change request,,,,,,,,,,,,2,"When a workaround is found satisfactory and no permanent solution is implemented, the issue record will still be listed in the Known Error Database despite being marked as Resolved. This ensures the workaround information remains accessible.",Problem Management
What are the three lifecycle stages in Problem Management?,multiple-choice,"Create, Approve, Implement","Detection and Logging, Investigation and Diagnosis, Resolution and Closure","New, In Progress, Closed","Assess, Authorize, Review",,,,,,,,,,,,2,"The lifecycle for managing problems starts with Detection and Logging, then moves into Investigation and Diagnosis, and finally concludes with Resolution and Closure.",Problem Management
What is the purpose of problem tasks?,multiple-choice,To automatically close related incidents,To seek help from other teams without reassigning the problem,To convert problems into change requests,To notify management of problem status,,,,,,,,,,,,2,"If assistance is needed from other teams without reassigning the problem record, problem tasks can be used. The assigned problem owner remains accountable for the problem but can create and assign tasks to seek help with the investigation.",Problem Management
"When creating a change request from a problem form, which fields are copied to the change request?",multiple-choice,Only the problem number,"Short description, description, configuration item, and priority",Only the assignee information,All fields including work notes,,,,,,,,,,,,2,"When creating a change request from the problem form, certain fields are copied including the short description, description, configuration item, and priority. This helps ensure consistency between the problem and related change.",Problem Management
Which role is required to create and update problem tasks in ServiceNow?,multiple-choice,problem_admin,problem_manager,problem_task_analyst,itil,,,,,,,,,,,,3,"The problem_task_analyst role enables a user to create and update problem tasks. This role is typically assigned to anyone serving in the support group. The problem_admin role can manage problems and tasks, while problem_manager can also administer properties and reopen problems.",Problem Management
Which two types of changes can be created from a problem record when implementing a permanent solution? (Choose two.),multiple-choice,Normal change,Standard change,Emergency change,Automated change,,,,,,,,,,,,"1,3","When implementing a permanent solution or workaround from a problem, only normal changes and emergency changes are applicable. Standard changes are pre-approved repeatable processes and not triggered from problem resolution.",Problem Management
A problem has been resolved with only a workaround and no permanent solution was implemented. What is the status of this problem in the Known Error Database?,multiple-choice,It is removed from the Known Error Database,It remains listed in the Known Error Database despite being marked as resolved,It is moved to a separate archive database,It is automatically converted to a change request,,,,,,,,,,,,2,"When a workaround is deemed satisfactory and no permanent solution is implemented, the issue record remains in the Known Error Database even though the problem is marked as resolved. This ensures future incidents can reference the workaround.",Problem Management
What is the unique record prefix for problem tasks in ServiceNow?,multiple-choice,PRB,PTASK,PT,PROB,,,,,,,,,,,,2,"Problem tasks are identified by their unique PTASK number. Problems themselves use the PRB prefix, but problem tasks specifically use PTASK.",Problem Management
Which of the following is NOT a way to access the Known Error Database in ServiceNow?,multiple-choice,Problem > Known Errors module,Knowledge Home page > Known Error Knowledge Base,Incident form > Related Links > Known Errors,Related Links on the Problem form (Create Known Error Article),,,,,,,,,,,,3,The Known Error Database can be accessed through the Problem Known Errors module and the Knowledge Home page's Known Error Knowledge Base. Known error articles can also be generated from the Problem form's related links. Accessing it directly from the Incident form's Related Links is not a standard method.,Problem Management
What information is automatically transferred when creating a Known Error article from the Problem form?,multiple-choice,"Short description, workarounds, and call notes","Assignment group, priority, and configuration item","Related incidents, change requests, and SLA data",Root cause analysis results and implementation timeline,,,,,,,,,,,,1,"When creating a Known Error article from the Problem form, the problem's brief description, workarounds, and call notes are automatically transferred to the article. This ensures relevant troubleshooting information is available.",Problem Management
What is the purpose of Benchmarks in ServiceNow ITSM?,multiple-choice,To automatically prioritize incidents based on impact,To monitor KPIs over time and compare performance with other organizations,To set mandatory response times for all incidents,To generate automated email reports for management,,,,,,,,,,,,2,Benchmarks enable organizations to monitor key performance indicators over time and compare their performance with other organizations. Results can be filtered by location and viewed in percentile ranking. This helps organizations understand how they perform relative to industry peers and identify improvement opportunities.,Reporting & Metrics
Which of the following are common ITSM KPIs that can be tracked through Benchmarks? (Select two),multiple-choice,Number of closed requests with breached SLAs,Total revenue generated by IT services,Average fulfillment time for requests,Employee satisfaction with office furniture,,,,,,,,,,,,"1,3","Key ITSM metrics include incidents, problems, change, and service catalog metrics. Specific examples are the number of closed requests with breached SLAs, average fulfillment time, and requests per user. These metrics help organizations track service delivery performance and identify improvement areas.",Reporting & Metrics
What is the purpose of configuring surveys for closed incidents?,multiple-choice,To automatically reopen incidents based on negative feedback,To assess and monitor user perception of issue resolution,To calculate the SLA compliance percentage,To assign performance ratings to individual agents,,,,,,,,,,,,2,"Surveys are configured to assess and monitor user perception of how well their issues were addressed. A Service Desk Satisfaction Survey can be triggered for closed incidents to gather customer feedback. Organizations typically limit survey frequency (e.g., one per 30 days per user) to avoid survey fatigue.",Reporting & Metrics
