Question,Question Type (multiple-choice or multi-select),Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Answer Option 7,Answer Option 8,Answer Option 9,Answer Option 10,Answer Option 11,Answer Option 12,Answer Option 13,Answer Option 14,Answer Option 15,Correct Response,Explanation,Knowledge Area
Which of the following can be associated with an external assessment? (Choose THREE),multiple-choice,Questionnaire templates,Document request templates,Assessment templates,Change request records,Incident records,,,,,,,,,,,"1,2,3","External assessments can be associated with questionnaire templates, document request templates, and assessment templates. These templates define the questions and documents that third parties need to provide.",Assessment Configuration
Which of the following question types is NOT supported by Smart Assessment Engine (SAE) for TPRM questionnaires?,multiple-choice,Radio button,Number,Ranking,Text,,,,,,,,,,,,3,"Ranking question types are not supported by SAE. The unsupported question types include: percentage, ranking, image scale, and custom metric. These must be converted to supported formats before migration or replaced with new questions.",Assessment Configuration
"Evaluate the following statements about questionnaire templates in TPRM:

Statement 1: You should not change a questionnaire template after it has been sent out as part of an internal assessment.

Statement 2: If you update a questionnaire after it has been sent out, the changes will automatically appear in the version shown to the IRQ assessor.

Which statements are TRUE?",multiple-choice,Both statements are true,Only Statement 1 is true,Only Statement 2 is true,Neither statement is true,,,,,,,,,,,,2,"Statement 1 is true - you should duplicate the template and make changes in a new copy rather than modifying an active questionnaire. Statement 2 is false - if you update a questionnaire after it has been sent out, the changes won't appear in the version shown to the IRQ assessor.",Assessment Configuration
What state does an assessment change to after selecting 'Submit to third party'?,multiple-choice,In Progress,Submitted to third party,Under Review,Pending Approval,,,,,,,,,,,,2,"When a TPR manager or assessor selects 'Submit to third party', the state of the assessment changes to 'Submitted to third party'. The selected templates generate questionnaires or document requests, and the primary third-party contact receives an email notification.",Assessment Configuration
What is a control objective in the context of TPRM questionnaires?,multiple-choice,A metric for measuring questionnaire completion time,An objective that acts as guidance for company interactions and operations,A score threshold for passing assessments,A deadline for third-party response submission,,,,,,,,,,,,2,"A control objective is an objective, direction, or standard that acts as guidance for company interactions and operations. Control objectives can be categorized, classified, and related to policies. When using TPRM with Policy and Compliance Management, you can associate control objectives and controls with questions.",Assessment Configuration
Which of the following happen when a classic template is migrated to an SAE template? (Choose THREE),multiple-choice,Unsupported question types must be converted or replaced,Empty sections are created for sections with only unsupported questions,Previous assessment responses are migrated automatically,The migration can be reversed after completion,Templates with empty sections cannot be published,,,,,,,,,,,"1,2,5","During SAE template migration: unsupported question types (percentage, ranking, image scale, custom metric) must be converted; empty sections are created when sections contain only unsupported questions; templates with empty sections cannot be published. Note: responses are NOT migrated and the migration cannot be reversed.",Assessment Configuration
What determines which engagements are selected for assessment using engagement risk scoring rules?,multiple-choice,The third party's geographic location,Component criteria defined in the engagement filter,The user who created the engagement,The number of questionnaires completed,,,,,,,,,,,,2,"Engagement risk scoring rules use component criteria defined in the engagement filter to determine which engagements are selected for assessment. For example, a rule could enable assessments for engagements involving more than $40,000 annual spend or third parties within a particular category.",Assessment Configuration
What happens when a user selects the 'Include previous responses' option for a questionnaire?,multiple-choice,The questionnaire is deleted and replaced with the previous version,Previous responses are copied to the outgoing questionnaire from the most recent closed assessment,All historical assessments are merged into one,The questionnaire becomes read-only,,,,,,,,,,,,2,"When 'Include previous responses' is selected, previous responses are copied and added to the outgoing questionnaire. The notification in the Third-party portal includes information about the previous assessment that supplied the responses. Note that this is a one-time copy - subsequent changes to the original assessment won't be reflected.",Assessment Configuration
Which of the following is NOT a valid migration status for SAE template migration?,multiple-choice,Completed,Partially completed,Pending Review,Errored,,,,,,,,,,,,3,"The valid migration statuses are: Completed (migration finished successfully), Partially completed (only some elements were migrated), and Errored (an error occurred). 'Pending Review' is not a valid migration status.",Assessment Configuration
Where should Smart assessments be viewed in TPRM?,multiple-choice,Classic UI only,Vendor Management Workspace,Service Portal only,Email notifications only,,,,,,,,,,,,2,Smart assessments must be viewed in the Vendor Management Workspace. The workspace provides the appropriate interface for SAE-based assessments and their management.,Assessment Configuration
"Evaluate the following statements about engagement risk scoring rules:

Statement 1: Engagement risk scoring rules apply only to engagements and not to parent third parties.

Statement 2: If multiple rules apply to the same engagement, the one with the higher-order value is applied.

Which statements are TRUE?",multiple-choice,Both statements are true,Only Statement 1 is true,Only Statement 2 is true,Neither statement is true,,,,,,,,,,,,1,"Both statements are true. Engagement risk scoring rules apply only to engagements, not parent third parties, so engagement risk ratings only apply to risk assessments for the engagement. When multiple rules match the same engagement, the rule with the higher-order value takes precedence.",Assessment Configuration
A TPR assessor wants to track remediation for problems found during an external assessment. What should they create?,multiple-choice,A new internal assessment,An issue to track the remediation process,A change request,A new questionnaire template,,,,,,,,,,,,2,"For problems that arise during assessment review, the TPR assessor creates an issue to track the remediation process. This is done during the 'Finalizing with third party' state when working through responses.",Assessment Configuration
Which roles are required to manually add a control objective to a question? (Choose TWO),multiple-choice,sn_vdr_risk_asmt.vendor_risk_manager,sn_compliance.manager,sn_vdr_risk_asmt.vendor_contact,itil,approver_user,,,,,,,,,,,"1,2","To manually add a control objective to a question, you need both the sn_vdr_risk_asmt.vendor_risk_manager AND sn_compliance.manager roles. This requires permissions from both TPRM and Policy and Compliance Management applications.",Assessment Configuration
What happens to event-driven management rules if an assessment template is not updated to support SAE assessments?,multiple-choice,The rules continue to work normally,The rules won't run as expected,The rules are automatically migrated,The rules are permanently deleted,,,,,,,,,,,,2,"If an assessment template isn't updated to support SAE assessments, the related tier-based, provider-based, and event-driven management rules won't run as expected. Templates must be migrated to SAE format for these rules to function properly.",Assessment Configuration
What role is required to set up and maintain a question bank?,multiple-choice,sn_vdr_risk_asmt.vendor_contact,admin or sn_vdr_risk_asmt.vendor_risk_admin,sn_vdr_risk_asmt.vendor_assessor only,itil,,,,,,,,,,,,2,The admin or sn_vdr_risk_asmt.vendor_risk_admin role is required to set up and maintain a question bank. These administrative roles have the permissions to create and manage question bank categories and questions.,Assessment Configuration
Which of the following information is included in the Event-driven management history record? (Choose THREE),multiple-choice,Run start timestamp,Trigger action (Scheduled job or Manual),Third-party contact email addresses,"State (Running, Successful, or Recalled)",Third-party credit scores,,,,,,,,,,,"1,2,4","Event-driven management history records include: Run start timestamp, Trigger action (whether scheduled or manual), Run complete timestamp, State (Running, Successful, or Recalled), and a unique ID number starting with EMH.",Assessment Configuration
How should a percentage question type be converted when migrating to SAE?,multiple-choice,Convert to Radio button type,Convert to Number type,Convert to Text type,Percentage questions cannot be converted,,,,,,,,,,,,2,"When migrating to SAE, percentage questions should be converted to Number type. Image scale questions should use Radio button type. Ranking and custom metric question types aren't supported and must be recreated.",Assessment Configuration
"Evaluate the following statements about assessment state management:

Statement 1: The TPR assessor can change the assessment state to 'Generating Observations' after reviewing responses.

Statement 2: The 'Include previous responses' option can be changed after the questionnaire is sent to the third party.

Which statements are TRUE?",multiple-choice,Both statements are true,Only Statement 1 is true,Only Statement 2 is true,Neither statement is true,,,,,,,,,,,,2,Statement 1 is true - the TPR assessor moves the assessment to 'Generating Observations' state after reviewing responses. Statement 2 is false - the 'Include previous responses' option cannot be changed after the questionnaire is sent to the third party.,Assessment Configuration
What determines which questionnaire is sent to a third-party vendor during an assessment?,multiple-choice,The vendor's industry classification,The assessment type and tier assigned to the entity,The number of previous assessments completed,The vendor's geographic location only,,,,,,,,,,,,2,"The assessment type (e.g., onboarding, periodic review) and the entity's risk tier determine which questionnaire template is sent, allowing different rigor levels for different vendor categories.",CIS-TPRM
What is the purpose of assessment scoring in TPRM?,multiple-choice,To calculate the vendor's invoice amounts,To quantify vendor risk based on assessment responses for comparison and decision-making,To determine how many assessments to send,To rank vendors by response speed,,,,,,,,,,,,2,"Assessment scoring quantifies the risk level of each vendor based on their questionnaire responses, enabling standardized comparison and informed risk-based decisions.",CIS-TPRM
Which role is required to configure TPRM properties?,multiple-choice,sn_vdr_risk_asmt.vendor_assessor,sn_vdr_risk_asmt.vendor_risk_admin,sn_vdr_risk_asmt.vendor_risk_manager,sn_vdr_risk_asmt.vendor_contact,,,,,,,,,,,,2,The sn_vdr_risk_asmt.vendor_risk_admin role is required to configure TPRM properties. This administrative role has the permissions necessary to modify system settings and property values.,Core Configuration
Which applications must be activated to fully implement TPRM? (Choose THREE),multiple-choice,Third-party Risk Management app [com.sn_vdr_risk_asmt],Due diligence request workflow application [com.sn_tprm_dd],Vendor Risk Management Workspace application [sn_vrm_ws],Customer Service Management [com.sn_csm],Field Service Management [com.sn_fsm],,,,,,,,,,,"1,2,3","To fully implement TPRM, you need to activate: Third-party Risk Management app, Due diligence request workflow application, and Vendor Risk Management Workspace application. These three applications together provide the complete TPRM functionality.",Core Configuration
What is the purpose of the 'Organization name' property [sn_vdr_risk_asmt.company.name] in TPRM?,multiple-choice,To set the default currency for assessments,Third-party contacts see this name in all references on the Third-party portal,To configure email notification headers,To set the company logo on reports,,,,,,,,,,,,2,The Organization name property [sn_vdr_risk_asmt.company.name] defines the name that third-party contacts see in all references on the Third-party portal. This helps maintain consistent branding and identification.,Core Configuration
"Evaluate the following statements about TPRM configuration:

Statement 1: After the Smart Assessment Engine enabled property is set to true, this selection cannot be reversed.

Statement 2: Sample questionnaires are automatically included when installing TPRM regardless of installation options.

Which statements are TRUE?",multiple-choice,Both statements are true,Only Statement 1 is true,Only Statement 2 is true,Neither statement is true,,,,,,,,,,,,2,"Statement 1 is true - after the Smart Assessment Engine enabled property is set to true, this selection cannot be reversed. Statement 2 is false - sample questionnaires are only included if you select 'Load demo data' while installing the app.",Core Configuration
Which of the following is NOT a standard setup task when configuring TPRM?,multiple-choice,Add an authentication policy for external third parties,Assign TPRM roles to users and user groups,Configure CMDB discovery schedules,Enable email communication with third-party contacts,,,,,,,,,,,,3,"Configuring CMDB discovery schedules is not a TPRM setup task - it's related to Discovery and CMDB applications. Standard TPRM setup tasks include: authentication policies, role assignments, property configuration, email communication setup, and third-party contact configuration.",Core Configuration
An administrator wants to allow TPR assessors to answer questions on behalf of third-party contacts. Which property should be configured?,multiple-choice,sn_vdr_risk_asmt.company.name,sn_svdp.allow_assessor_edit,sn_vdr_risk_asmt.excel_file_max_size,sn_tprm_dd.max_age_for_questionnaire_reuse,,,,,,,,,,,,2,"The sn_svdp.allow_assessor_edit property controls whether TPR assessors can answer or edit questionnaires for third-party contacts. Setting it to 'Enter answer' enables assessors to answer questions, 'Enter edit' enables them to modify responses, and 'false' disables both capabilities.",Core Configuration
Which of the following can be imported from other systems into TPRM without being charged? (Choose THREE),multiple-choice,Third parties,Engagements,Assessments and questionnaires,Platform license keys,User authentication tokens,,,,,,,,,,,"1,2,3","TPRM allows importing existing data including third parties, engagements, assessments, questionnaires, and issues from other systems like Aravo or ProcessUnity without being charged. This facilitates migration from legacy systems.",Core Configuration
Where do administrators navigate to assign TPRM roles to user groups?,multiple-choice,All > Third-party Risk Management > Administration > User Groups,All > System Security > Users and Groups > Groups,All > User Administration > Roles,All > Third-party Risk Management > External Risk Assessments > All Assessments,,,,,,,,,,,,1,"To assign TPRM roles, administrators navigate to All > Third-party Risk Management > Administration > User Groups. From there, they can select the Roles related list and assign appropriate TPRM roles (prefixed with sn_vdr) to groups.",Core Configuration
Which three applications must be activated during TPRM initial setup? (Choose THREE),multiple-choice,Third-party Risk Management [com.sn_vdr_risk_asmt],Due diligence request workflow [com.sn_tprm_dd],Vendor Risk Management Workspace [sn_vrm_ws],GRC: Policy and Compliance Management,Enterprise Risk Management,,,,,,,,,,,"1,2,3","The three applications that must be activated during TPRM setup are: Third-party Risk Management [com.sn_vdr_risk_asmt], Due diligence request workflow [com.sn_tprm_dd], and Vendor Risk Management Workspace [sn_vrm_ws].",Core Configuration
What happens when you select 'Load demo data' while installing the TPRM application?,multiple-choice,Sample third-party records and engagements are created,Sample questions for your question bank are included,Test user accounts are automatically generated,Sample risk intelligence provider integrations are configured,,,,,,,,,,,,2,"The base system includes many sample questions that you can use in your question bank. To include sample questionnaires, select Load demo data while installing the app.",Core Configuration
What is the purpose of running quick-start tests in TPRM?,multiple-choice,To validate the performance of the TPRM application under load,To verify TPRM still works after configuration changes such as upgrades or application development,To automatically generate initial assessment questionnaires,To create sample third-party records for training purposes,,,,,,,,,,,,2,Quick-start tests verify that TPRM still works after configuration changes such as applying an upgrade or developing an application. You can copy and customize the quick-start tests to pass when using instance-specific data.,Core Configuration
Can existing data be imported into TPRM from other systems like Aravo or ProcessUnity?,multiple-choice,"Yes, but there is an additional charge per record imported","No, all data must be entered manually","Yes, and you are not charged for importing the data",Only third-party records can be imported; engagements must be created manually,,,,,,,,,,,,3,"You can import existing data (third parties, engagements, assessments, questionnaires, issues, and so on) from other systems like the Aravo platform, the ProcessUnity platform, and others. You aren't charged for importing the data.",Core Configuration
What is the significance of assigning TPRM roles to users before implementing the application?,multiple-choice,It enables automatic generation of reports,It simplifies process management and ensures users are promptly notified of tasks in their areas of responsibility,It automatically creates third-party records for each user,It configures the TPRM dashboard layout for each user,,,,,,,,,,,,2,Assigning roles in a well-organized manner simplifies and improves process management and helps to ensure that users are promptly notified of tasks in their areas of responsibility.,Core Configuration
Which record type represents a vendor organization being assessed in TPRM?,multiple-choice,Vendor record,Entity record,Company record,Supplier record,,,,,,,,,,,,2,"In TPRM, the Entity record (sn_vdr_risk_asmt_entity) represents the third-party vendor being assessed. Entities are linked to assessments, engagements, and risk scores.",CIS-TPRM
Which TWO roles are specific to Third-Party Risk Management? (Choose 2),multiple-choice,sn_vdr_risk_asmt.admin,sn_vdr_risk_asmt.user,risk_admin,vendor_manager,,,,,,,,,,,,"1,2","The sn_vdr_risk_asmt.admin and sn_vdr_risk_asmt.user roles are specific to TPRM, providing administrative and standard user access respectively to vendor risk assessment features.",CIS-TPRM
What is the primary purpose of the Third-party Risk Management (TPRM) application in ServiceNow?,multiple-choice,To manage internal employee performance reviews,"To identify, assess, and mitigate risks associated with third-party relationships",To handle customer service incidents and requests,To manage software asset licenses and compliance,,,,,,,,,,,,2,"The TPRM application centralizes and standardizes the processes for managing third-party risk programs, helping organizations identify, assess, and mitigate risks associated with external parties such as vendors, suppliers, and service providers.",Third-party Risk Management Fundamentals
Which of the following are key capabilities of the Third-party Risk Management application? (Choose THREE),multiple-choice,"Onboarding, Offboarding, and Renewals workflows",Assessment management,Change Advisory Board scheduling,Continuous risk monitoring,Service Level Agreement tracking,,,,,,,,,,,"1,2,4","TPRM provides key capabilities including Onboarding/Offboarding/Renewals workflows, Assessment management, Continuous risk monitoring, and Risk performance management to help organizations assess third-party risk effectively.",Third-party Risk Management Fundamentals
Which user role is responsible for leading thorough risk assessments of third parties and developing mitigation strategies?,multiple-choice,Contract negotiator,TPRM Admin,Risk Manager,Due diligence requester,,,,,,,,,,,,3,"Risk managers lead thorough risk assessments of third parties and engagements. Based on information collected and reviewed, they prioritize risks, develop mitigation strategies, and use TPRM to monitor and manage ongoing third-party relationships effectively.",Third-party Risk Management Fundamentals
Which of the following is NOT a type of due diligence conducted in TPRM?,multiple-choice,Information Security due diligence,Financial due diligence,Marketing due diligence,Compliance due diligence,,,,,,,,,,,,3,"Marketing due diligence is not a standard type of due diligence in TPRM. The standard types include Information Security, Financial, Legal, Operational, Compliance, and Reputation due diligence.",Third-party Risk Management Fundamentals
Which of the following are components of a third-party risk profile? (Choose THREE),multiple-choice,Composite Risk Ratings,Third-party basic information,Customer satisfaction scores,Risk domain assessments,Employee headcount metrics,,,,,,,,,,,"1,2,4","A third-party risk profile includes: Third-party information (name, location, contact), Composite Risk Ratings (IRQ results, external assessments, engagement ratings, risk intelligence), Risk domain assessments (financial stability, operational risk, compliance, cybersecurity, etc.), and Risk intelligence data.",Third-party Risk Management Fundamentals
"Evaluate the following statements about the due diligence workflow in TPRM:

Statement 1: After a due diligence request is approved, the TPR manager selects an IRQ and attaches it to an internal assessment.

Statement 2: The contract risk process is mandatory and cannot be skipped during due diligence.

Which statements are TRUE?",multiple-choice,Both statements are true,Only Statement 1 is true,Only Statement 2 is true,Neither statement is true,,,,,,,,,,,,2,"Statement 1 is true - after approval, the TPR manager or owner selects an IRQ and attaches it to an internal assessment. Statement 2 is false - the contract risk process can be skipped if the 'Skip contract risk process' option is selected during the due diligence process.",Third-party Risk Management Fundamentals
What is an Inherent Risk Questionnaire (IRQ) in TPRM?,multiple-choice,A questionnaire sent to third parties to collect documentation,A set of questions that scores and scopes the required due diligence on third parties or engagements,A survey for measuring customer satisfaction with third-party services,A compliance checklist for regulatory requirements,,,,,,,,,,,,2,An IRQ is a set of questions that scores and scopes the required due diligence on the third parties or engagements. It's part of an internal assessment and helps determine the risk profile and appropriate level of due diligence needed.,Third-party Risk Management Fundamentals
Which of the following are examples of TPRM Assessor types that help mitigate engagement risk? (Choose THREE),multiple-choice,Compliance Risk Assessor,Cybersecurity Risk Assessor,Marketing Risk Assessor,Operational Risk Assessor,Sales Risk Assessor,,,,,,,,,,,"1,2,4","TPRM supports multiple assessor types including: Compliance Risk Assessor (confirms engagements comply with standards), Cybersecurity Risk Assessor (evaluates cybersecurity practices), and Operational Risk Assessor (analyzes operational practices and business continuity).",Third-party Risk Management Fundamentals
Which of the following is NOT a risk domain evaluated in a third-party risk profile?,multiple-choice,Financial stability,Brand awareness,Cybersecurity risk,Geopolitical risk,,,,,,,,,,,,2,"Brand awareness is not a risk domain in TPRM. The risk domains include: Financial stability, Operational risk, Compliance and legal risk, Cybersecurity risk, Geopolitical risk, Reputation risk, and Business continuity risk.",Third-party Risk Management Fundamentals
What happens after all approvers approve a due diligence request in TPRM?,multiple-choice,The third party is automatically onboarded without further steps,All due diligence information can be made available for the contract negotiator,A new IRQ is automatically generated,The engagement is closed and archived,,,,,,,,,,,,2,"After all approvers approve the due diligence request, all the due diligence information can be made available for the person negotiating the contract. The contract risk process then applies if a contract is required.",Third-party Risk Management Fundamentals
"Evaluate the following statements about third parties in TPRM:

Statement 1: All third parties must be categorized as 'Vendors' in the Company [core_company] table.

Statement 2: Risk intelligence providers generate risk scores that are analogous to personal credit scores.

Which statements are TRUE?",multiple-choice,Both statements are true,Only Statement 1 is true,Only Statement 2 is true,Neither statement is true,,,,,,,,,,,,1,"Both statements are true. All third parties must be categorized as 'Vendors' in the Company table for proper TPRM functionality. Risk intelligence providers generate scores that are analogous to personal credit scores, providing insight on how trustworthy and safe a third party can be.",Third-party Risk Management Fundamentals
What is the role of a Contract negotiator in the TPRM workflow?,multiple-choice,To conduct initial risk assessments of third parties,To manage user roles and system settings,To orchestrate and finalize agreements using due diligence information,To respond to questionnaires on behalf of third parties,,,,,,,,,,,,3,Contract negotiators orchestrate and finalize agreements between your organization and potential engagements. They use all the information collected through the due diligence process to help ensure that all contracts reflect strategic interests and adhere to risk management protocols.,Third-party Risk Management Fundamentals
Which of the following types of engagements are examples of third-party relationships managed in TPRM? (Choose THREE),multiple-choice,Cloud Service Providers (CSPs),Internal employees,Business Process Outsourcers (BPOs),Consultants,Direct supervisors,,,,,,,,,,,"1,3,4","TPRM manages various third-party engagement types including Cloud Service Providers (offering cloud-based infrastructure and services), Business Process Outsourcers (handling specific business processes), and Consultants (providing expert advice in specific areas).",Third-party Risk Management Fundamentals
What is the purpose of Information Security due diligence in TPRM?,multiple-choice,To assess the third party's marketing capabilities,"To evaluate data protection practices, cybersecurity measures, and information handling processes",To review the third party's organizational structure,To analyze the third party's customer acquisition strategies,,,,,,,,,,,,2,"Information Security due diligence involves evaluating the third party's data protection practices, cybersecurity measures, and information handling processes. This includes assessing data security policies, incident response capabilities, encryption practices, and employee training on data protection.",Third-party Risk Management Fundamentals
Which key capabilities does the TPRM application provide? (Choose FOUR),multiple-choice,"Onboarding, Offboarding, Renewals, and additional due diligence workflows",Assessment management,Continuous risk monitoring,Risk performance management,Automated financial auditing,,,,,,,,,,,"1,2,3,4","TPRM provides four key capabilities: Onboarding/Offboarding/Renewals/due diligence workflows, Assessment management, Continuous risk monitoring, and Risk performance management.",Fundamentals
Who are Due Diligence Requesters in the TPRM context?,multiple-choice,External third-party contacts who submit their own assessments,"Any employee at your organization interested in onboarding, reassessing, or offboarding an engagement",Senior management who approve all third-party engagements,Risk assessors assigned to evaluate third-party cybersecurity,,,,,,,,,,,,2,"Due diligence requesters can be any employee at your organization interested in onboarding, reassessing, or offboarding an engagement.",Fundamentals
Which are examples of TPRM Assessor types? (Choose THREE),multiple-choice,Compliance Risk Assessor,Cybersecurity Risk Assessor,Operational Risk Assessor,Financial Planning Assessor,Marketing Risk Assessor,,,,,,,,,,,"1,2,3","TPRM Assessors include Compliance Risk Assessors (confirms engagements comply with standards), Cybersecurity Risk Assessors (evaluates cybersecurity practices), and Operational Risk Assessors (analyzes operational practices).",Fundamentals
What is the role of TPRM Approvers in the third-party risk management process?,multiple-choice,They conduct the initial risk assessment of third parties,They perform the final review and approval of due diligence findings before proceeding with any engagement,They create and manage assessment questionnaires,They configure TPRM system properties and plugins,,,,,,,,,,,,2,TPRM approvers are typically senior members within the organization. They're responsible for the final review and approval of the due diligence findings. They help confirm that all risk management requirements have been satisfactorily addressed before proceeding with any third-party engagement.,Fundamentals
What is the primary benefit of using the TPRM application according to ServiceNow documentation?,multiple-choice,It eliminates all third-party risks completely,It reduces the manual burden and costs of the risk assessment process through automation,It automatically selects the best third parties for your organization,It replaces the need for human risk assessors entirely,,,,,,,,,,,,2,"By using the TPRM application, you can reduce the manual burden and costs of your risk assessment process through automation. TPRM brings all third-party risk information into one environment.",Fundamentals
What is the primary purpose of the Third-Party Risk Management (TPRM) application in ServiceNow?,multiple-choice,To manage vendor invoices and payments,"To assess, monitor, and mitigate risks associated with third-party vendors",To manage service level agreements with vendors,To handle vendor procurement and onboarding only,,,,,,,,,,,,2,"TPRM's primary purpose is to provide a structured approach to assess, continuously monitor, and mitigate risks posed by third-party vendors and suppliers.",CIS-TPRM
