Question,Question Type (multiple-choice or multi-select),Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Answer Option 7,Answer Option 8,Answer Option 9,Answer Option 10,Answer Option 11,Answer Option 12,Answer Option 13,Answer Option 14,Answer Option 15,Correct Response,Explanation,Knowledge Area
"When using Predictive Intelligence with traffic-based discovery, what does Service Mapping automatically add to service instances?",multiple-choice,New entry points based on predicted traffic patterns,Connections based on connection rules generated from traffic data and application fingerprints,Automated credentials for discovered CIs,Performance metrics for each CI,,,,,,,,,,,,2,"When Predictive Intelligence is enabled, Service Mapping automatically adds connections to service instances based on connection rules. These suggestions are generated using traffic-related data from the CMDB and the analysis of application fingerprints, CIs, and processes by Predictive Intelligence.",Machine Learning
What is the purpose of the Service Mapping Workspace in ML-powered mapping?,multiple-choice,To replace all manual service mapping configuration,To efficiently map application services using tag-based Service Mapping,To automatically generate discovery patterns,To manage MID Server configurations,,,,,,,,,,,,2,"Starting with Service Mapping Plus, the Tag-based Service Mapping workspace allows users to efficiently map application services. This workspace provides a streamlined interface for ML-powered mapping using tags discovered from cloud providers and container ecosystems.",Machine Learning
"When creating a serverless discovery schedule for NetApp SolidFire storage discovery, what type of discovery should be selected in the Discover field?",multiple-choice,IP Address,CI Type,Serverless,Scheduled Jobs,,,,,,,,,,,,3,"When creating a discovery schedule for targeted discovery of storage systems like NetApp SolidFire clusters and nodes, you select 'Serverless' in the Discover type field. This enables serverless execution patterns to be configured for specific discovery patterns.",Configuration Management Database
Which SolidFire Cluster Admin credentials must be configured as Basic Auth credentials for Element API authentication? (Choose two.),multiple-choice,clusterAdmins,superuser,reporting,administrator,,,,,,,,,,,,"1,3","For NetApp SolidFire discovery, Basic Auth credentials must be configured with specific SolidFire Cluster Admin permissions including: read, clusterAdmins, reporting, and drives. The clusterAdmins and reporting permissions are among these required credentials.",Configuration Management Database
Which CMDB table is used to store discovered NetApp SolidFire storage server configuration data as the main CI?,multiple-choice,cmdb_ci_storage_device,cmdb_ci_storage_server,cmdb_ci_san_device,cmdb_ci_netapp_storage,,,,,,,,,,,,2,"The main CI for discovered NetApp SolidFire storage systems is stored in the cmdb_ci_storage_server table. This table contains fields for name, serial_number, firmware_version, ip_address, short_description, and manufacturer.",Configuration Management Database
What are the two types of credentials that Service Mapping uses for top-down discovery? (Choose two.),multiple-choice,Host credentials for accessing applications on a host,CMDB credentials for database access,Applicative credentials separate from host credentials for specific applications,MID Server admin credentials for agent management,,,,,,,,,,,,"1,3","Service Mapping uses two types of credentials: Host credentials (SSH or Windows credentials to access servers hosting applications) which are typically sufficient for most discoveries, and Applicative credentials which are separate from host credentials needed for specific applications like ABAP SAP Central Services (ASCS).",Service Mapping Engagement Readiness
Which type of application services CANNOT be fine-tuned or edited from the map view?,multiple-choice,Discovered application services,Manually created application services,Tag-based and dynamic services,Services with traffic-based connections,,,,,,,,,,,,3,Tag-based and dynamic services cannot be fine-tuned or edited from the map. This is an important limitation to understand when planning Service Mapping implementations. Only discovered and manually created application services can be edited from the map view.,Service Mapping Engagement Readiness
"An application service owner has rejected a service map with comments. As a Service Mapping administrator, where do you find the owner's rejection comments?",multiple-choice,In the Discovery Log table,"Under Reject Messages on the left, in the Service Discovery Messages tab",In the Service Mapping Properties panel,In the Event Management alert console,,,,,,,,,,,,2,"To view rejection comments from application service owners, administrators click 'Reject Messages' on the left side of the service form. The owner comments are displayed under the Service Discovery Messages tab, where they can review what changes the owner requested.",Service Mapping Engagement Readiness
"When creating a serverless discovery schedule for NetApp SolidFire storage discovery, what type of discovery should be selected in the Discover field?",multiple-choice,IP Address,CI Type,Serverless,Scheduled Jobs,,,,,,,,,,,,3,"When creating a discovery schedule for targeted discovery of storage systems like NetApp SolidFire clusters and nodes, you select 'Serverless' in the Discover type field. This enables serverless execution patterns to be configured for specific discovery patterns.",Configuration Management Database
Which SolidFire Cluster Admin credentials must be configured as Basic Auth credentials for Element API authentication? (Choose two.),multiple-choice,clusterAdmins,superuser,reporting,administrator,,,,,,,,,,,,"1,3","For NetApp SolidFire discovery, Basic Auth credentials must be configured with specific SolidFire Cluster Admin permissions including: read, clusterAdmins, reporting, and drives. The clusterAdmins and reporting permissions are among these required credentials.",Configuration Management Database
Which CMDB table is used to store discovered NetApp SolidFire storage server configuration data as the main CI?,multiple-choice,cmdb_ci_storage_device,cmdb_ci_storage_server,cmdb_ci_san_device,cmdb_ci_netapp_storage,,,,,,,,,,,,2,"The main CI for discovered NetApp SolidFire storage systems is stored in the cmdb_ci_storage_server table. This table contains fields for name, serial_number, firmware_version, ip_address, short_description, and manufacturer.",Configuration Management Database
"When configuring a Serverless Execution Pattern for NetApp SolidFire storage discovery, which parameters must be defined under Discovery Pattern Launcher Parameters?",multiple-choice,SNMP community string and target IP range,Management IP of the cluster and Credentials Alias,SSH port and timeout value,WMI namespace and authentication type,,,,,,,,,,,,2,"Under Discovery Pattern Launcher Parameters for SolidFire storage discovery, you must configure the Management IP of the cluster and the Credentials Alias with the relevant values. These parameters enable the pattern to connect to and authenticate with the SolidFire cluster.",Configuration Management Database
What is the minimum version of the Discovery and Service Mapping Patterns store app required for NetApp SolidFire storage discovery?,multiple-choice,Version 1.0.50,Version 1.0.74,Version 1.0.82,Version 2.0.0,,,,,,,,,,,,2,Version 1.0.74 of the Discovery and Service Mapping Patterns store app is required for NetApp SolidFire storage system discovery. This prerequisite must be verified before attempting to discover SolidFire clusters and nodes.,Configuration Management Database
"When configuring a Serverless Execution Pattern form, what value should be specified for the Proxy Host field?",multiple-choice,The MID Server hostname,Global,The target storage system IP,None (leave empty),,,,,,,,,,,,2,"In the Serverless Execution Pattern form, the Proxy Host field should specify 'Global'. This indicates the fully qualified domain name of the machine on which the proxy server is installed and enables global access for the discovery pattern.",Configuration Management Database
What is the relationship type between a Cloud Database Cluster and Cloud Database CIs in the CMDB?,multiple-choice,Contains::Contained by,Cluster of::Cluster,Hosts::Hosted on,Depends on::Used by,,,,,,,,,,,,2,The relationship between cmdb_ci_cloud_db_cluster and cmdb_ci_cloud_database is 'Cluster of::Cluster'. This indicates that the cloud database cluster contains individual cloud database instances as members.,Configuration Management Database
Which fields are populated in the Cloud Database Cluster table [cmdb_ci_cloud_db_cluster] during AWS discovery? (Choose three.),multiple-choice,cluster_id,cluster_status,memory_capacity,fqdn,cpu_count,,,,,,,,,,,"1,2,4","The Cloud Database Cluster table is populated with cluster_id (user-supplied DB cluster identifier), cluster_status (current state of the DB cluster), and fqdn (connection endpoint for the primary instance). Other fields include name, tcp_port, vendor, and operational_status.",Configuration Management Database
"When configuring a service account for AWS DB cluster discovery, what value should be used for the Account ID field?",multiple-choice,The MID Server instance ID,The ServiceNow instance sys_id,The Amazon account ID as shown in AWS Management Console,The IAM role ARN,,,,,,,,,,,,3,"When creating a service account for AWS DB cluster discovery, the Account ID should be set to the Amazon account ID to which RDS belongs. This must be the Account ID exactly as it appears in the AWS Management Console.",Configuration Management Database
Which table stores the relationship between tags and discovered Cloud Database Clusters in AWS discovery?,multiple-choice,cmdb_rel_ci,cmdb_key_value,cmdb_ci_tags,cmdb_ci_cloud_tags,,,,,,,,,,,,2,The cmdb_key_value table stores tag relationships with discovered CIs. The relationship type is 'Reference only' between cmdb_key_value and cmdb_ci_cloud_db_cluster (and cmdb_ci_cloud_database).,Configuration Management Database
Which role is required to view maps for operational service instances and retrieve service content using the REST API?,multiple-choice,service_mapping_admin,app_service_user,app_service_admin,sm_app_owner,,,,,,,,,,,,2,The app_service_user role views maps for operational service instances and retrieves service content using the getContent - GET REST API. The itil role contains the app_service_user role.,Configuration Management Database
Which scheduled job calculates the licensing metric for the overall number of discovered servers on an instance?,multiple-choice,Update App Service Status,Calculate number of servers,Update Query Based Services,Slow steps stats persist,,,,,,,,,,,,2,"The ""Calculate number of servers"" scheduled job runs every Sunday and updates the licensing metric with the overall number of discovered servers on the instance. On domain-separated instances, the number is updated for each domain.",Configuration Management Database
"Service Mapping and a third-party monitoring tool have identified the same CI differently, resulting in duplicate CMDB records. Which scheduled job addresses this issue?",multiple-choice,Update App Service Status,Calculate number of servers,sm dedup tracker for specific discovery sources,Run DNS Lookup For All Entry Points,,,,,,,,,,,,3,"The ""sm dedup tracker for specific discovery sources"" scheduled job scans CMDB application tables for CIs identified as generic applications. If it identifies duplicate records based on CI type and discovery source, it creates a deduplication task.",Configuration Management Database
What is the maximum number of active CI relationships allowed for tag-based discovery by default?,multiple-choice,3,5,10,20,,,,,,,,,,,,2,The svc_by_tags.max.traversal.rules.active property defaults to 5. Service Mapping uses only active CI relationships for tag-based discovery.,Configuration Management Database
Which install statuses are excluded by default from tag-based service mapping?,multiple-choice,In Maintenance (3) and Pending Install (4),Retired (7) and Absent (100),On Order (2) and In Stock (6),Pending Repair (5) and Stolen (8),,,,,,,,,,,,2,"The svc_by_tags.install_status.blacklist property defaults to ""7,100"", which corresponds to Retired (7) and Absent (100). CIs with these install statuses are excluded from tag-based service mapping.",Configuration Management Database
Which new Zurich capability allows synthetic monitoring checks to run from existing MID Server infrastructure without additional deployment?,multiple-choice,MID Server Health Monitoring,Run Monitors Directly from MID Servers,MID Server Synthetic Agent,Discovery-Based Monitoring,,,,,,,,,,,,2,"Zurich adds the ability to run synthetic monitors directly from MID Servers. This means zero additional infrastructure—customers can leverage existing MID Servers for synthetic tests, reducing TCO and going from zero to monitoring in minutes.",Discovery Configuration
What new Zurich feature allows you to create HTTP endpoint CIs directly from the 'New Monitor' configuration screen?,multiple-choice,Quick CI Creator,Inline Endpoint Builder,Streamlined Endpoint CI Creation,Monitor-to-CI Wizard,,,,,,,,,,,,3,"Zurich introduces Streamlined Endpoint CI Creation, allowing you to create new endpoint records right from the 'New Monitor' configuration. This is valuable for greenfield deployments or organizations still building their configuration management practices.",CMDB Integration
What new Zurich capability ensures synthetic-generated alerts are automatically routed to the correct team when an endpoint fails?,multiple-choice,Alert Routing Rules,Support Group Assignment,Team-Based Alert Dispatch,Incident Auto-Assignment,,,,,,,,,,,,2,"Support Group Assignment in Zurich makes it easy to automatically assign synthetic-generated alerts to specific support groups. This ensures alerts route directly to the team that owns the endpoint, with clear ownership and accountability.",Discovery Configuration
From which three locations can synthetic monitoring checks now run in Zurich?,multiple-choice,"MID Servers, ACC fleets, and ServiceNow instance","Discovery probes, ACC clients, and cloud agents","Edge servers, data centers, and MID Servers","Pattern engines, ACC fleets, and orchestration servers",,,,,,,,,,,,1,"With Zurich, synthetic monitoring checks can run from MID Servers, ACC fleets, and your ServiceNow instance. This provides multiple layers of monitoring from any part of your ServiceNow architecture.",Discovery Configuration
How does Service Mapping classify discovery errors? (Choose two.),multiple-choice,"By their root cause category such as Configuration, Network, and Credentials",By alphabetical order of error messages,"By impact level: high, medium, and low impact on services",By the MID Server that encountered the error,,,,,,,,,,,,"1,3","Service Mapping classifies errors by their root cause category (Configuration, Network, Credentials, etc.) and also organizes them by high, medium, and low impact on the services. This dual classification helps administrators prioritize and fix errors efficiently.",Discovery Configuration
Under what conditions are discovery errors not assigned to any category in Service Mapping?,multiple-choice,When the MID Server is offline,"After upgrading from Jakarta release or earlier, or when CIs with errors are removed and readded to services",When credentials are missing for all targets,When discovery schedules are paused,,,,,,,,,,,,2,"Discovery errors may be uncategorized in two scenarios: after upgrading Service Mapping from Jakarta release or earlier, or when CIs that have errors are first removed from application services and then readded. In these cases, administrators can categorize them by clicking 'Rediscover Relevant CIs'.",Discovery Configuration
An administrator needs to notify an external team member who doesn't use ServiceNow to fix a discovery error. Which action should they use?,multiple-choice,Retry Discovery,Mark as assigned with a comment,View instructions,View affected services,,,,,,,,,,,,2,"The 'Mark as assigned' action is used when planning to perform an out-of-band action to notify a person to fix the error, typically someone who does not use the ServiceNow instance. You can enter a comment in the Mark as Assigned popup, which sets the Error Status to Assigned.",Discovery Configuration
Which application services does Service Mapping rediscover regularly based on discovery schedules?,multiple-choice,All application services regardless of status,Only application services with Operational status,Only application services in draft status,Only application services with pending errors,,,,,,,,,,,,2,"Service Mapping discovers only CIs belonging to application services with Operational status. Discovery schedules define how often Service Mapping runs the discovery process for these CIs, constantly updating the list of errors.",Discovery Configuration
Where do you navigate to fix application service errors in bulk in Service Mapping?,multiple-choice,Service Mapping > Administration > Error Log,"Service Mapping > Home, then click Fix Your Services in the Fix box",Discovery > Discovery Status > Errors,CMDB > Health Dashboard > Service Errors,,,,,,,,,,,,2,"To fix application service errors in bulk, navigate to Service Mapping > Home and then click 'Fix Your Services' in the Fix box. The number in the Fix box indicates the number of affected service maps.",Discovery Configuration
Which actions set the Error Status field to 'Assigned' when managing Service Mapping errors? (Choose two.),multiple-choice,Mark as assigned,Retry Discovery,Create a ServiceNow task,View instructions,,,,,,,,,,,,"1,3","Both 'Mark as assigned' and 'Create a ServiceNow task' actions set the Error Status field in the error record as Assigned. 'Mark as assigned' is for out-of-band notifications to external users, while 'Create a ServiceNow task' creates a trackable task within ServiceNow.",Discovery Configuration
In what order are the AWS database discovery patterns triggered during discovery?,multiple-choice,"AWS DB cluster pattern runs first, then AWS Relational Database Service pattern","AWS Relational Database Service pattern runs first, then AWS DB cluster pattern",Both patterns run simultaneously,Only one pattern runs based on the database type,,,,,,,,,,,,2,The AWS DB cluster pattern is triggered after the AWS Relational Database Service pattern during discovery. This sequence is necessary because the discovered DB clusters form new relationships with the DB Instances discovered by the AWS RDS pattern.,Discovery Configuration
Which AWS database resources can be discovered by the AWS DB cluster discovery pattern? (Choose three.),multiple-choice,Aurora DB clusters,Amazon DynamoDB tables,Amazon Neptune DB instances,Amazon DocumentDB instances,Amazon ElastiCache clusters,,,,,,,,,,,"1,3,4","The AWS DB cluster discovery pattern can find and map Aurora DB clusters, Aurora Serverless resources, Amazon Neptune DB instances, and Amazon DocumentDB instances. These are all AWS database cluster types that the pattern supports.",Discovery Configuration
"When configuring AWS credentials for DB cluster discovery, which REST API permissions must be set to read-only? (Choose two.)",multiple-choice,DescribeDBClusters,CreateDBCluster,DescribeDBInstances,DeleteDBInstance,,,,,,,,,,,,"1,3",Read-only permissions are required for DescribeDBClusters and DescribeDBInstances REST APIs. These APIs retrieve information about database clusters and instances without making any modifications. The tagging API is also required for tags discovery.,Discovery Configuration
Which CMDB table stores discovered AWS database cluster information?,multiple-choice,cmdb_ci_aws_database,cmdb_ci_cloud_db_cluster,cmdb_ci_rds_cluster,cmdb_ci_database_cluster,,,,,,,,,,,,2,"The Cloud Database Cluster [cmdb_ci_cloud_db_cluster] table stores discovered AWS database cluster information including cluster_id, name, fqdn, tcp_port, vendor, cluster_status, and operational_status.",Discovery Configuration
Which scheduled job generates entry point candidates from netflow and netstat data for bulk application service mapping?,multiple-choice,Flow Discovery Scheduler,Generate entry point candidates from netflow and netstat data,Update Query Based Services,Update App Service Status,,,,,,,,,,,,2,"The ""Generate entry point candidates from netflow and netstat data"" scheduled job runs daily, scans the TCP Connection [cmdb_tcp] table, and stores entry points in the Candidate Entry Points [sa_cand_entry_point] table. It supports generating entry points for bulk application service mapping.",Discovery Configuration
"What is the default timeout for a Service Mapping task, including waiting for execution in internal queues and ECC queue?",multiple-choice,60 minutes,90 minutes,120 minutes,180 minutes,,,,,,,,,,,,3,The sa.discovery_task_timeout_min property controls the maximum time for a Service Mapping task and defaults to 120 minutes. This includes waiting for execution in internal queues and ECC queue.,Discovery Configuration
An organization wants to limit traffic-based connections from a single CI to keep service maps manageable. Which property should they configure?,multiple-choice,sa.max_relations_in_service,sa.traffic_based_discovery.max_connections,svc_by_tags.max_ci_limit,glide.service_mapping.computation_depth,,,,,,,,,,,,2,"The sa.traffic_based_discovery.max_connections property (default: 30) limits the maximum number of traffic-based connections from a single CI, helping keep the map size reasonable.",Discovery Configuration
Which ports are ignored by default during traffic-based discovery?,multiple-choice,"80, 443, 8080, 8443","445, 139, 111, 2049, 860, 3260, 135, 53","22, 23, 3389, 5900","25, 110, 143, 993, 995",,,,,,,,,,,,2,"The sa.traffic_based_discovery.ignored_ports property defaults to 445, 139, 111, 2049, 860, 3260, 135, 53. These are common service ports (SMB, NetBIOS, NFS, iSCSI, RPC, DNS) that are typically not relevant for application service mapping.",Discovery Configuration
"How often does the ""Deferred Discovery Cleanup"" scheduled job run, and what does it do?",multiple-choice,Every 10 minutes; it cleans up stale discovery logs,Every minute; it detects and cancels discovery schedules on TCP connections not active for 5 minutes,Every hour; it removes completed discovery tasks,Daily; it archives old discovery results,,,,,,,,,,,,2,The Deferred Discovery Cleanup scheduled job runs every minute. It detects and cancels discovery schedules on TCP connections that are not in the active state anymore (5 minutes of no activity).,Discovery Configuration
What are the two types of credentials that Service Mapping uses for top-down discovery? (Choose two.),multiple-choice,Host credentials for accessing applications on a host,CMDB credentials for database access,Applicative credentials separate from host credentials for specific applications,MID Server admin credentials for agent management,,,,,,,,,,,,"1,3","Service Mapping uses two types of credentials: Host credentials (SSH or Windows credentials to access servers hosting applications) which are typically sufficient for most discoveries, and Applicative credentials which are separate from host credentials needed for specific applications like ABAP SAP Central Services (ASCS).",Service Mapping Engagement Readiness
Which type of application services CANNOT be fine-tuned or edited from the map view?,multiple-choice,Discovered application services,Manually created application services,Tag-based and dynamic services,Services with traffic-based connections,,,,,,,,,,,,3,Tag-based and dynamic services cannot be fine-tuned or edited from the map. This is an important limitation to understand when planning Service Mapping implementations. Only discovered and manually created application services can be edited from the map view.,Service Mapping Engagement Readiness
"An application service owner has rejected a service map with comments. As a Service Mapping administrator, where do you find the owner's rejection comments?",multiple-choice,In the Discovery Log table,"Under Reject Messages on the left, in the Service Discovery Messages tab",In the Service Mapping Properties panel,In the Event Management alert console,,,,,,,,,,,,2,"To view rejection comments from application service owners, administrators click 'Reject Messages' on the left side of the service form. The owner comments are displayed under the Service Discovery Messages tab, where they can review what changes the owner requested.",Service Mapping Engagement Readiness
"For Unix-based hosts, what type of credentials must be configured on MID Servers for Service Mapping discovery?",multiple-choice,Standard user credentials without elevated privileges,Sudo-level credentials on all Unix-based hosts,Root credentials only,SNMP community strings,,,,,,,,,,,,2,"For Unix-based hosts, you must provide a user with sudo-level credentials on all Unix-based hosts in your organization. This enables MID Servers to run the necessary discovery commands against Unix-based servers. This is a key prerequisite for Service Mapping implementation.",Service Mapping Engagement Readiness
Why might an administrator want to transfer a map segment into another application service?,multiple-choice,To delete CIs that are no longer needed,To split large services or reorganize services differently from initial mapping,To automatically create backup copies of service maps,To merge all services into a single application service,,,,,,,,,,,,2,"You can remove a branch of a service and place it into another application service, either new or existing. Transfer map segments to split large services or when you want to organize services differently from the initial mapping result.",Service Mapping Engagement Readiness
What can you create from an application service map when Service Mapping identifies CIs as generic applications?,multiple-choice,A CMDB health report,A simplified discovery pattern from the service map,An automated remediation workflow,A performance analytics dashboard,,,,,,,,,,,,2,"When Service Mapping identifies CIs as generic applications that it failed to properly discover, you can correctly identify them by creating a simplified discovery pattern from an application service map, rather than creating a fully functional pattern from scratch using the Pattern Designer.",Service Mapping Engagement Readiness
Which prerequisites must be met before using the Application Service Readiness Dashboard for ML-based mapping? (Choose two.),multiple-choice,Install and activate the Predictive Intelligence plugin,Enable the ADME property (glide.discovery.enable_adme),Configure SNMP v3 credentials on all MID Servers,Install the ITOM Health plugin,,,,,,,,,,,,"1,2","Two key prerequisites for the Application Service Readiness Dashboard are: installing and activating the Predictive Intelligence plugin, and enabling the ADME property (glide.discovery.enable_adme set to True) for enhanced discovery data collection.",Service Mapping Engagement Readiness
"In the Application Service Readiness Dashboard, what does ""Missing source-target AFP"" indicate?",multiple-choice,Application services are missing discovery credentials,Application services are missing some application fingerprints for a source or target process,Application services have duplicate CI entries,Application services have exceeded the maximum CI limit,,,,,,,,,,,,2,"""Missing source-target AFP"" means the number of application services are missing some application fingerprints for a source or target process. To resolve, calibrate the fingerprint-based discovery.",Service Mapping Engagement Readiness
Which role is required to access the Application Service Readiness Dashboard in the Service Mapping workspace?,multiple-choice,app_service_user,service_mapping_admin,pd_admin,itom_admin,,,,,,,,,,,,2,The service_mapping_admin role is required to access the Application Service Readiness Dashboard in the Service Mapping configurable workspace.,Service Mapping Engagement Readiness
"The readiness dashboard shows ""Confidence level unavailable"" for several application services. What should the administrator do?",multiple-choice,Restart the MID Server and re-run discovery,Wait until the application fingerprints training is complete,Manually assign confidence levels to each connection,Re-install the Predictive Intelligence plugin,,,,,,,,,,,,2,"If the confidence level appears as N/A, the administrator should wait until the application fingerprints training is complete. Predictive Intelligence needs time to train models before it can assign confidence levels.",Service Mapping Engagement Readiness
What is the relationship between tag-based mapping results and pattern-based mapping results in Service Mapping?,multiple-choice,Tag-based mapping produces identical results to pattern-based mapping,Tag-based mapping produces a hierarchical service map that may be less precise than pattern-based mapping,Pattern-based mapping always requires tag-based mapping to run first,Tag-based mapping provides more detailed CI relationships than pattern-based mapping,,,,,,,,,,,,2,"The result of tag-based mapping is a hierarchical service map that may be less precise than the application service created using patterns. Tag-based mapping uses discovered tags to group CIs, while pattern-based mapping uses detailed discovery patterns for precise CI identification.",Machine Learning
"When using Predictive Intelligence with traffic-based discovery, what does Service Mapping automatically add to service instances?",multiple-choice,New entry points based on predicted traffic patterns,Connections based on connection rules generated from traffic data and application fingerprints,Automated credentials for discovered CIs,Performance metrics for each CI,,,,,,,,,,,,2,"When Predictive Intelligence is enabled, Service Mapping automatically adds connections to service instances based on connection rules. These suggestions are generated using traffic-related data from the CMDB and the analysis of application fingerprints, CIs, and processes by Predictive Intelligence.",Machine Learning
What is the purpose of the Service Mapping Workspace in ML-powered mapping?,multiple-choice,To replace all manual service mapping configuration,To efficiently map application services using tag-based Service Mapping,To automatically generate discovery patterns,To manage MID Server configurations,,,,,,,,,,,,2,"Starting with Service Mapping Plus, the Tag-based Service Mapping workspace allows users to efficiently map application services. This workspace provides a streamlined interface for ML-powered mapping using tags discovered from cloud providers and container ecosystems.",Machine Learning
An administrator has enabled traffic-based discovery before the Quebec release and has already discovered at least one application service. What is the default state of the connection suggestions feature?,multiple-choice,Enabled by default,Turned off by default,Requires manual activation after upgrade,Automatically migrates to the new feature,,,,,,,,,,,,2,"If traffic-based discovery was enabled before the Quebec release and was used to discover at least one application service, the connection suggestions feature is turned off by default. This ensures backward compatibility with existing configurations.",Machine Learning
How does Service Mapping create names for tag-based services?,multiple-choice,Using auto-generated UUIDs,"Using tag values discovered for the tag definitions, formatted in lowercase",Using the hostname of the primary CI,Using sequential numbering with a service prefix,,,,,,,,,,,,2,"Service Mapping creates names for tag-based services using tag values discovered for the tag definitions to which these tag-based services belong. For example, for Environment and Application tag categories with Production and HR as their respective tag values, the default service name is 'production::hr'. Tag-based service names use lowercase.",Machine Learning
An administrator adds new tag categories to an existing service family. What happens to previously mapped services?,multiple-choice,Previously mapped services are automatically updated with new tag categories,Previously mapped services are deleted and remapped,Service Mapping does not implement changes for previously mapped services,Previously mapped services receive an error status,,,,,,,,,,,,3,"If you add or remove tag categories after mapping services, Service Mapping does not implement these changes for previously mapped services belonging to this service family. This is an important consideration when planning tag-based service family modifications.",Machine Learning
