Question,Question Type (multiple-choice or multi-select),Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Answer Option 7,Answer Option 8,Answer Option 9,Answer Option 10,Answer Option 11,Answer Option 12,Answer Option 13,Answer Option 14,Answer Option 15,Correct Response,Explanation,Knowledge Area
What must be done before using a SIR integration from the ServiceNow Store?,multiple-choice,Configure CMDB records,"Download and install from the ServiceNow Store, then add API URL and credentials",Create a change request,Disable all other integrations,,,,,,,,,,,,2,"Before using an integration, you must download it from the ServiceNow Store and add API URL and login credentials.",Security Incident and Threat Intelligence Integrations
Which third-party sources can IoCs be sent to for additional analysis? (Choose two.),multiple-choice,EDR (Endpoint Detection and Response),HR Management System,Sandbox,Payroll System,,,,,,,,,,,,"1,3","IoCs can be sent to third-party sources such as EDR, Sandbox, or TIP for additional analysis.",Security Incident and Threat Intelligence Integrations
What does HPE ArcSight Logger integration do for Security Operations?,multiple-choice,Manages user passwords,Streams real-time data and categorizes them into specific logs for incident enrichment,Generates compliance reports,Deploys security patches,,,,,,,,,,,,2,"HPE ArcSight Logger streams real-time data and categorizes them into specific logs, easily integrating with Security Operations for incident enrichment.",Security Incident and Threat Intelligence Integrations
What is extracted when third-party sources contain MITRE ATT&CK information?,multiple-choice,User credentials,Technique information for correlation and analysis,Network bandwidth data,Hardware inventory,,,,,,,,,,,,2,"If any third-party source contains MITRE ATT&CK information, Threat Intelligence extracts the technique information and enriches data in the repository for correlation and analysis.",Security Incident and Threat Intelligence Integrations
How are SIR integrations displayed in the Integration Configurations page?,multiple-choice,As a list view,As a series of cards,As a tree structure,As a timeline,,,,,,,,,,,,2,The available security integrations appear as a series of cards in the Integration Configurations page.,Security Incident and Threat Intelligence Integrations
"Which statements about SIR integrations are true?
a) SIEM integrations ingest threat data with relevant TTPs
b) Integrations must be downloaded from the ServiceNow Store
c) All integrations are pre-configured and require no setup
d) Link URLs can optionally point to third-party instances",multiple-choice,"a, b, c, and d","a, b, and d only",a and c only,b only,,,,,,,,,,,,2,"Statements a, b, and d are true. SIEM integrations ingest threat data with TTPs, integrations must be downloaded from Store, and Link URLs are optional. Statement c is false - integrations require configuration (API URL, credentials).",Security Incident and Threat Intelligence Integrations
"In automated correlation, what type of relationship is created when URL observables share the same base domain?",multiple-choice,Confirmed Relationship,Potential Relationship,Parent Relationship,No Relationship,,,,,,,,,,,,2,"The ""URL Observables with same domain"" correlation rule examines commonalities in URL structure to identify if they share the same base domain. This creates a Potential Relationship, not a confirmed one.",Security Incident and Threat Intelligence Integrations
Which email-related property defines where external integrations should send emails for Security Operations email parsing?,multiple-choice,email_from,email_to,email_parser_address,email_inbound,,,,,,,,,,,,2,All Security Operations plugins have a property (email_to) that defines the email address where external integrations should send emails to be parsed by the email parsers.,Security Incident Integrations
What happens when an email sent to the Security Operations email address does not match any email parser?,multiple-choice,The email is automatically deleted,The email is stored as unmatched and can be reviewed and reprocessed,A security incident is created with default values,An error notification is sent to the admin,,,,,,,,,,,,2,"Matched emails create or update Security Operations records, while unmatched emails can be reviewed and reprocessed by administrators.",Security Incident Integrations
What is the purpose of domain separation in SIR integrations?,multiple-choice,To separate email domains for spam filtering,To enable third-party integrations to be configured on a per-domain basis for service providers,To create separate DNS domains for each integration,To isolate network traffic between integrations,,,,,,,,,,,,2,"Starting from the Madrid release, domain separation enables third-party integrations to be configured on a per-domain basis, allowing service providers to manage integrations separately for each tenant.",Security Incident Integrations
A service provider wants to standardize SOC procedures across multiple customers while maintaining data isolation. Which SIR capability supports this?,multiple-choice,Multi-instance architecture,Domain separation with Standard level support,SIR clustering,Virtual private SIR instances,,,,,,,,,,,,2,"Domain separation in SIR enables service providers to standardize SOC and SIR procedures across their customer base while maintaining separate workspaces, dashboards, and data isolation for each tenant.",Security Incident Integrations
Which types of records can be created through Security Operations email parsing? ,multiple-choice,Only security incidents,"Security incidents, requests, vulnerable items, vulnerabilities, observables, and attack methods",Only security incidents and vulnerability records,Only security incidents and observables,,,,,,,,,,,,2,"Email parsing can create multiple types of Security Operations records including security incidents, requests, vulnerable items, vulnerabilities, security incident observables, attack methods, and more.",Security Incident Integrations
What level of domain separation support does Security Incident Response provide?,multiple-choice,Basic,Standard,Advanced,Premium,,,,,,,,,,,,2,"Security Incident Response provides Standard level domain separation support, which includes all aspects of Basic level support plus domain-aware application properties and SP-configurable business logic per customer.",Security Incident Integrations
Which TWO types of integrations does SIR support for threat intelligence? (Choose 2),multiple-choice,STIX/TAXII feed integration,Observable enrichment integrations,Direct database replication from SIEM,Real-time video feed analysis,,,,,,,,,,,,"1,2","SIR supports STIX/TAXII feeds for ingesting structured threat intelligence data and observable enrichment integrations (like WHOIS, VirusTotal) for enriching indicators of compromise.",CIS-SIR
How can SIR submit observables to a Zscaler URL category list?,multiple-choice,Through manual export and import into Zscaler,Directly from the observable record or security incident through built-in integration actions,Only through a custom REST API script,By emailing the observables to Zscaler support,,,,,,,,,,,,2,SIR provides built-in integration with Zscaler that allows analysts to submit observables directly to URL category allow/deny lists from the observable record or the security incident.,CIS-SIR
What is the Security Incident Response Workspace used for?,multiple-choice,Vulnerability scanning,Managing security incidents from analysis to containment,HR management,Asset inventory,,,,,,,,,,,,2,"Using Security Incident Response Workspace, your security team can manage the life cycle of each security incident from analysis to containment.",Security Incident Response Management
How does integrating SIR with MITRE ATT&CK change incident handling?,multiple-choice,Incidents are handled as isolated events,Security incidents are handled as links in a larger enterprise-wide attack,Incidents are automatically resolved,All incidents are classified as low priority,,,,,,,,,,,,2,"By integrating Security Incident Response with the MITRE ATT&CK framework, security incidents are handled as links in a larger enterprise-wide attack.",Security Incident Response Management
Which roles can view the SIR Workspace Dashboards? (Choose two.),multiple-choice,sn_si.admin,sn_si_basic,itil,public,,,,,,,,,,,,"1,2",sn_si.admin (write) and sn_si_basic (read) are the roles required for SIR dashboards.,Security Incident Response Management
Where can email notification links open based on user roles in SIR?,multiple-choice,Always in classic UI,In SIR Analyst Workspace for analysts or IT Remediation Workspace for remediation owners,In mobile app only,Links are disabled by default,,,,,,,,,,,,2,"Links open in specific workspaces based on roles. If the recipient doesn't have the required roles, links open in classic UI.",Security Incident Response Management
A security analyst needs to instantly pinpoint areas of concern and quickly resolve issues. Which dashboard should they use?,multiple-choice,Vulnerability Management Dashboard,Security Incident Response Explorer,CMDB Health Dashboard,Service Portal Analytics,,,,,,,,,,,,2,The Security Incident Response Explorer dashboard allows viewing security incident activity to instantly pinpoint areas of concern and quickly resolve issues.,Security Incident Response Management
What is the primary focus of security teams using Security Incident Response for incident management?,multiple-choice,Managing project timelines,"Managing life cycle of security incidents focusing on IoCs like IP addresses, file hashes, and domains",Managing employee vacation schedules,Managing software licenses,,,,,,,,,,,,2,"Security teams manage the life cycle of each security incident from analysis to containment by focusing on indicators of compromise (IOCs) like IP addresses, file hashes, and domains.",Security Incident Response Management
"After viewing the Security Incident Response Explorer, where can detailed dashboard views be found?",multiple-choice,Classic Reports module,Security Incident Response Workspace in SIR Workspace Dashboards,System Properties,User Preferences,,,,,,,,,,,,2,"To view Security Incident Response Explorer dashboard in detail, see Viewing SIR Workspace Dashboards.",Security Incident Response Management
"Which statements about SIR Workspace are true?
a) It helps manage incident lifecycle from analysis to containment
b) It focuses on IoCs like IP addresses, file hashes, and domains
c) It can only be accessed by system administrators
d) MITRE ATT&CK integration allows treating incidents as part of larger attacks",multiple-choice,"a, b, c, and d","a, b, and d only",a and c only,b and d only,,,,,,,,,,,,2,"Statements a, b, and d are true. SIR manages incident lifecycle focusing on IoCs, and ATT&CK integration enables enterprise-wide attack correlation. Statement c is false - multiple roles can access the workspace.",Security Incident Response Management
When is the Resolution section displayed in the Security Incident Overview?,multiple-choice,When the incident is first created,When the incident moves to the Review state,When an analyst is assigned,When response tasks are completed,,,,,,,,,,,,2,"The Resolution section is displayed when an incident moves to the Review state. It includes the ability to view the post incident review. After closure, it shows resolution code, resolution notes, and resolved by user.",Security Incident Response Management
What is the purpose of the Enforce restriction check box on a security incident?,multiple-choice,To prevent the incident from being modified,To restrict access to the security incident to only specific users or groups,To lock the incident from state changes,To prevent the incident from appearing in reports,,,,,,,,,,,,2,Security incident restrictions enable you to hide critical security incidents from being accessed by other users. The Enforce restriction check box limits access to only the specified users or groups.,Security Incident Management
Which role is required to enforce access restrictions on security incidents?,multiple-choice,sn_si.analyst,sn_si.admin,sn_si.manager,itil,,,,,,,,,,,,2,The sn_si.admin role is required to manage access restrictions on security incidents.,Security Incident Management
A security analyst escalates a standard security incident to a major security incident. Which capability becomes available through MSIM?,multiple-choice,Automatic vulnerability scanning of affected CIs,A dedicated workspace with organized response tasks across multiple child security incidents,Direct access to firewall configuration,Automated patch deployment to affected systems,,,,,,,,,,,,2,"Major Security Incident Management (MSIM) provides a dedicated workspace for managing major security incidents, including the ability to organize response tasks across multiple child security incidents.",Security Incident Management
What happens automatically when a major security incident is created in MSIM?,multiple-choice,All related vulnerabilities are automatically patched,Collaboration folders and chat communication channels are automatically created,The incident is automatically assigned to the CISO,All child incidents are automatically resolved,,,,,,,,,,,,2,"MSIM automates the creation of collaboration folders and chat communication channels after a major security incident is created, as well as archival as part of incident closure.",Security Incident Management
What is the purpose of the Shift Handover feature in Security Incident Response Workspace?,multiple-choice,To transfer security incidents to another ServiceNow instance,To provide complete shift information to the next shift analysts for continuity,To automatically close incidents at the end of a shift,To reassign all incidents to the on-call manager,,,,,,,,,,,,2,"Shift Handover provides complete shift information to the next shift analysts, ensuring continuity during shift transitions. Admins can define Shift Handover templates for shift owners to create handover records.",Security Incident Management
"In MSIM, what are the three ways a security analyst can handle a security incident in relation to major security incidents?",multiple-choice,"Create, update, and delete major security incidents","Propose, promote, or reject a security incident as a major security incident","Assign, escalate, or close major security incidents","Link, unlink, or merge major security incidents",,,,,,,,,,,,2,"A security incident analyst can propose a security incident to major security incident candidate, directly promote a security incident to MSI, or reject a security incident proposed as MSI.",Security Incident Management
What is the purpose of the Security Incident Response Workspace?,multiple-choice,To provide a dedicated workspace for managing security incidents with contextual actions and visualizations,To replace the standard ServiceNow list views,To manage user access and permissions only,To generate compliance audit reports,,,,,,,,,,,,1,"The SIR Workspace provides analysts with a dedicated, contextual interface for managing security incidents, including quick actions, related lists, timeline views, and integration actions.",CIS-SIR
What is the purpose of adding observables to a security incident?,multiple-choice,To track billing information for the investigation,"To record indicators of compromise (IoCs) like IP addresses, URLs, and file hashes for enrichment and correlation",To assign the incident to multiple teams simultaneously,To generate automated reports for compliance,,,,,,,,,,,,2,"Observables represent indicators of compromise (IP addresses, domains, URLs, file hashes) that can be enriched through threat intelligence integrations and correlated across incidents.",CIS-SIR
What is the MITRE ATT&CK framework in the context of Security Incident Response?,multiple-choice,A vulnerability scanning tool,"A knowledge base of common tactics, techniques, and procedures (TTP) for threat modeling",A firewall configuration standard,A compliance reporting framework,,,,,,,,,,,,2,"The MITRE-ATT&CK framework is a knowledge base of common tactics, techniques, and procedures (TTP) that organizations can access to develop specific threat models and methodologies against cyberattacks.",Security Incident Response Overview and Data Visualization
Which three MITRE ATT&CK matrices are used to describe adversary behaviors? (Choose three.),multiple-choice,Enterprise ATT&CK,ICS ATT&CK,Cloud ATT&CK,Mobile ATT&CK,Database ATT&CK,,,,,,,,,,,"1,2,4","ATT&CK consists of three matrices: Enterprise ATT&CK (enterprise network and cloud), ICS ATT&CK (Industrial Control Systems), and Mobile ATT&CK (mobile devices).",Security Incident Response Overview and Data Visualization
What represents 'the why' of an ATT&CK technique?,multiple-choice,Procedure,Tactic,Technique,Matrix,,,,,,,,,,,,2,Tactics represent the 'why' of an ATT&CK technique. It is the adversary's tactical objective for performing an action. Techniques represent 'how' an adversary achieves a tactical objective.,Security Incident Response Overview and Data Visualization
What is an intent-based response in Security Incident Response?,multiple-choice,A response based on user intentions,A dynamic kill chain framework to correlate incidents and predict adversary behavior,A compliance-driven incident response,A manual response workflow,,,,,,,,,,,,2,An intent-based response uses a dynamic and contextual kill chain framework that can help correlate security incidents and identify a large scope of attacks. It enables predicting attacker behavior so resources can be focused effectively.,Security Incident Response Overview and Data Visualization
Which roles are required to access the Security Incident Response Explorer dashboard? (Choose two.),multiple-choice,sn_si.admin (to write),sn_si.basic (to read),itil,admin,,,,,,,,,,,,"1,2",The roles required to access the Security Incident Response Explorer dashboard are: sn_si.admin (to write) and sn_si_basic (to read).,Security Incident Response Overview and Data Visualization
"Which statements about MITRE ATT&CK integration with Security Operations are true?
a) SIEM integrations ingest threat data with relevant TTPs associated to security incidents
b) When an IoC is associated to a security incident, Threat Intelligence automatically searches threat feeds
c) MITRE ATT&CK cannot be integrated with Vulnerability Response
d) CVE context information is shared for each technique",multiple-choice,"a, b, c, and d","a, b, and d only",a and c only,b and d only,,,,,,,,,,,,2,"Statements a, b, and d are true. SIEM integrations associate TTPs, TI searches threat feeds for IoCs, and CVE context is shared. Statement c is false - MITRE ATT&CK CAN be integrated with Vulnerability Response to determine if business-critical assets are threatened.",Security Incident Response Overview and Data Visualization
Which path is used to access the Security Incident Response Explorer dashboard?,multiple-choice,All > Security Operations > Security Incidents,All > Self-Service > Homepage or Dashboards,All > Reports > Security Reports,All > Vulnerability Response > Overview,,,,,,,,,,,,2,"To access the Security Incident Response Explorer, navigate to All > Self-Service > Homepage or navigate to Self-Service > Dashboards, then choose Security Incident Explorer from the reports list.",Security Incident Response Overview and Data Visualization
How can techniques be associated with tactics in MITRE ATT&CK?,multiple-choice,Each technique belongs to exactly one tactic,Techniques may be associated with more than one tactic,Tactics and techniques are never associated,Only sub-techniques can span multiple tactics,,,,,,,,,,,,2,"Techniques may be associated with more than one tactic. For example, Access Token Manipulation is used by an adversary to achieve either the tactic of Privilege Escalation or Defense Evasion.",Security Incident Response Overview and Data Visualization
How can organizations benefit from using MITRE ATT&CK in Security Operations? (Choose two.),multiple-choice,Equip analysts with TTPs to better analyze and respond to incidents,Replace all security tools,Automate incident workflows using playbooks in ATT&CK context,Eliminate the need for vulnerability scanning,,,,,,,,,,,,"1,3","Organizations benefit by equipping security analysts with MITRE-ATT&CK TTPs to better analyze and respond to incidents, and by automating incident workflows using playbooks in the context of the MITRE-ATT&CK framework.",Security Incident Response Overview and Data Visualization
