Question,Question Type (multiple-choice or multi-select),Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Answer Option 7,Answer Option 8,Answer Option 9,Answer Option 10,Answer Option 11,Answer Option 12,Answer Option 13,Answer Option 14,Answer Option 15,Correct Response,Explanation,Knowledge Area
What CMDB Health metrics are included in the Correctness KPI? (Choose 2),multiple-choice,Orphan CIs,Staleness,Completeness,Duplicate CIs,,,,,,,,,,,,"1,2",The Correctness KPI aggregates metrics including Orphan (CIs left unintentionally) and Staleness (CIs not updated within the Effective Duration). Completeness and Duplicates are separate KPIs.,Configuration Management Database
How does Discovery create Asset records from discovered Configuration Items?,multiple-choice,Discovery populates the Assets table directly during the Exploration phase,Discovery creates/updates a CI record which has a Model and Model Category; the Model Category then determines if an Asset record is created,An administrator must manually create Asset records after Discovery completes,Asset records are created by a scheduled job that runs nightly,,,,,,,,,,,,2,"Discovery does not populate the Assets table directly. Instead, Discovery creates or updates a CI record with a Model and Model Category. The Model Category determines if an Asset is automatically created and linked to the CI.",Configuration Management Database
What is the relationship between CI classes and Model Categories?,multiple-choice,CI classes and Model Categories have a many-to-many relationship,CI classes and Model Categories have a one-to-one relationship,Multiple CI classes can share one Model Category,Model Categories are optional for CI classification,,,,,,,,,,,,2,CI classes and Model Categories have a one-to-one relationship — only one CI class can be associated to one Model Category. The Model Category determines whether an Asset record is created.,Configuration Management Database
Under what conditions is an Asset NOT automatically created from a discovered CI? (Choose 2),multiple-choice,When Enforce CI verification is enabled on the Model Category,When the CI is classified as a Linux Server,When the Model and Model Category are assigned in the wrong sequence (configuration error),When the CI has more than 10 relationships,,,,,,,,,,,,"1,3","Assets are not auto-created when: 1) Enforce CI verification is enabled (CIs get 'Requires verification' status), or 2) Configuration errors where Model and Model Category are assigned in wrong sequence.",Configuration Management Database
What two business rules keep Asset records and CI records synchronized?,multiple-choice,Create Asset Rule and Delete Asset Rule,Update CI fields on change (on Asset table) and Update Asset fields on change (on Configuration Item table),Sync Forward Rule and Sync Backward Rule,Asset Reconciliation Rule and CI Reconciliation Rule,,,,,,,,,,,,2,"Two business rules maintain synchronization: 'Update CI fields on change' on the Asset [alm_asset] table, and 'Update Asset fields on change' on the Configuration Item [cmdb_ci] table.",Configuration Management Database
What determines if a CI is considered 'stale' in the CMDB Health Dashboard?,multiple-choice,The CI has not been accessed by any user in the last 30 days,The CI was not updated within the Effective Duration specified in the applicable staleness rule,The CI has no relationships to other CIs,The CI's Discovery source has been decommissioned,,,,,,,,,,,,2,A CI is stale if it wasn't updated within the Effective Duration in the applicable staleness rule. The default rule for cmdb_ci sets this to 60 days. Class-specific rules can override this.,Configuration Management Database
What scheduled jobs can administrators use to manage recommended fields for CMDB Health? (Choose 2),multiple-choice,Add Identifier Fields In Recommended Rules,Remove Identifier Fields In Recommended Rules,Sync Recommended Fields From CSDM,Auto-Populate Missing Required Fields,,,,,,,,,,,,"1,2","Two scheduled jobs manage recommended fields: 'Add Identifier Fields In Recommended Rules' sets criterion attributes from active identification rules as recommended, and 'Remove Identifier Fields In Recommended Rules' unsets them.",Configuration Management Database
What is the maximum threshold number of CIs that can fail a CMDB health metric test before processing stops?,multiple-choice,"10,000","50,000","100,000",Unlimited,,,,,,,,,,,,3,"The maximum threshold is 100,000, even if you specify a higher number. When reached, health processing stops for the metric for that cycle.",Configuration Management Database
What new Zurich Discovery capability allows AWS discovery without storing credentials in ServiceNow?,multiple-choice,IAM Role Discovery,Credential-free AWS agents,AWS SSO Integration,Federated Discovery,,,,,,,,,,,,2,"Zurich introduces credential-free AWS agents for Discovery, improving security by not requiring stored credentials in ServiceNow.",Discovery Configuration
What container platform received enhanced Discovery support in Zurich?,multiple-choice,Docker Swarm,Kubernetes,OpenShift only,Docker Compose,,,,,,,,,,,,2,Zurich enhances Kubernetes Discovery with improved CMDB analytics and deep pattern mapping for containerized environments.,Discovery Configuration
What Pattern Designer enhancement in Zurich improves service mapping accuracy?,multiple-choice,Basic pattern templates,Deep pattern mapping,Pattern wizards,Auto-generated patterns,,,,,,,,,,,,2,Zurich introduces deep pattern mapping capabilities for improved service mapping accuracy and CMDB analytics.,Pattern Design
What CMDB analytics improvement is included with Zurich Discovery?,multiple-choice,Basic CI counts,Improved CMDB analytics,Simple dashboards,Static reports,,,,,,,,,,,,2,Zurich Discovery includes improved CMDB analytics capabilities for better visibility into discovered configuration items.,CMDB Integration
What is the purpose of the Shazzam probe during Discovery?,multiple-choice,To authenticate with target devices using credentials,To detect open ports on devices in the network,To update configuration items in the CMDB,To collect detailed hardware specifications,,,,,,,,,,,,2,"When Discovery is initiated, the Shazzam probe is launched to detect open ports on devices in the network. The data returned is used by the Shazzam sensor to identify certain characteristics about these devices based on the activity known to exist on these ports.",Discovery Configuration
Which port is used for SSH communication with Unix/Linux devices during Discovery?,multiple-choice,Port 135,Port 22,Port 161,Port 443,,,,,,,,,,,,2,Unix-based operating systems communicate with the SSH protocol over port 22. Discovery makes certain assumptions about devices running on these ports and launches the appropriate classify probes to find out more.,Discovery Configuration
"If Discovery does not proceed beyond the Shazzam probe, what is the most likely cause?",multiple-choice,Incorrect credentials,Missing CI classification,Connectivity issue or device not responding,Pattern configuration error,,,,,,,,,,,,3,"Common issues at the Port Scan phase are connectivity. If Discovery does not go beyond the Shazzam probe, you can assume there is a connectivity issue, the device is not turned on, or does not exist. Credential issues occur at Classification phase.",Discovery Configuration
During which phase of Discovery do Windows and SSH credential authentication occur?,multiple-choice,Port Scan phase,Classification phase,Identification phase,Exploration phase,,,,,,,,,,,,2,"Windows and SSH credential authentication takes place during the Classification phase of Discovery. If Discovery does not get past the Classification Phase, it is generally an authentication issue with incorrect credentials supplied or no appropriate classification existing.",Discovery Configuration
What is the benefit of using credential-less discovery with Nmap?,multiple-choice,It provides more detailed hardware information than credential-based discovery,It enables broad discovery of basic CI information without requiring credentials,It completely replaces the need for credential-based discovery,It only works with cloud-based resources,,,,,,,,,,,,2,Credential-less discovery greatly improves time to value by enabling broad discovery of basic information on the majority of customers' IT assets with minimal effort. It helps Discovery provide value on Day 1 even before credentials are fully configured.,Discovery Configuration
What is the purpose of credential affinity in Discovery?,multiple-choice,To encrypt credentials before transmission,To associate successfully-used credentials with specific devices,To validate credential formats,To backup credentials to external storage,,,,,,,,,,,,2,"After identifying the credentials for a device, Discovery and Orchestration create an affinity between the credentials and the device using the Credential Affinity [dscy_credentials_affinity] table. All subsequent discoveries attempt to match the credentials in this table with a device for which an affinity exists.",Discovery Configuration
Why is PowerShell the preferred method for running Discovery across multiple Windows domains?,multiple-choice,It is faster than WMI queries,It allows a single MID Server to authenticate on different domains using instance credentials,It does not require any credentials,It is the only protocol supported for Windows discovery,,,,,,,,,,,,2,"PowerShell is the preferred method for running Discovery over multiple Windows domains because it allows a single MID Server to authenticate on machines on different domains using credentials stored on the instance. Without PowerShell, only the MID Server service account would be used.",Discovery Configuration
"What is the default Shazzam batch size, and what is the minimum enforced value?",multiple-choice,"Default: 500, Minimum: 100","Default: 1000, Minimum: 256","Default: 2000, Minimum: 512","Default: 256, Minimum: 128",,,,,,,,,,,,2,"By default, the Shazzam batch size is 1000. A UI policy enforces a minimum batch size of 256 because batch sizes below 256 IP addresses do not benefit from clustering. The policy converts any value below 256 to a value of zero.",Discovery Configuration
Where can you view probe and sensor records for a Discovery?,multiple-choice,Discovery Log,ECC Queue,CMDB Workspace,MID Server Dashboard,,,,,,,,,,,,2,"The External Communication Channel (ECC) Queue lets you see all probe and sensor records for a particular device and Discovery. You can drill down from the beginning to the end of the Discovery, or drop into a sequence at any point. Sensor records are in the input queue, and probe records are in the output queue.",Discovery Configuration
What are the four phases of Discovery (PCIE)?,multiple-choice,"Probe, Classify, Identify, Export","Port Scan (Scanning), Classification, Identification, Exploration","Ping, Connect, Interrogate, Extract","Parse, Collect, Import, Enumerate",,,,,,,,,,,,2,"Discovery uses four phases known as PCIE: Port Scan/Scanning (Shazzam detects open ports), Classification (determines device type), Identification (matches to existing CIs), and Exploration (collects detailed information via patterns).",Discovery Configuration
What system property must be set to enable credential-less discovery with Nmap?,multiple-choice,mid.nmap.enabled,mid.discovery.credentialless.enable,glide.discovery.nmap.active,discovery.credentialless.allowed,,,,,,,,,,,,2,"To allow the Credentialless Discovery Network Device pattern to launch, ensure that the mid.discovery.credentialless.enable system property is set to true. To disable credential-less discovery, set this property to false.",Discovery Configuration
What is the purpose of credential aliases in Discovery?,multiple-choice,To create backup copies of credentials,To restrict which credentials a Discovery schedule can use,To hide credential passwords from administrators,To automatically rotate credential passwords,,,,,,,,,,,,2,"Credential aliases for Discovery allow an administrator to use specific credentials on Discovery schedules. Without credential aliases, Discovery schedules can access all credentials defined in the instance. Credential aliases provide more control over which credentials a Discovery schedule is allowed to use.",Discovery Configuration
What happens when the mid.powershell.use_credentials parameter is set to false?,multiple-choice,PowerShell is completely disabled for Discovery,Only the MID Server service account is used for Windows discovery,Discovery switches to WMI-only mode,All Windows discoveries will fail,,,,,,,,,,,,2,"The mid.powershell.use_credentials parameter must be set to true for the ServiceNow Credentials table to be used with PowerShell. If set to false, only the MID Server service account will be used, limiting multi-domain discovery capabilities.",Discovery Configuration
Which roles have access to the Discovery Admin Workspace?,multiple-choice,admin only,discovery_admin,mid_server,itil,,,,,,,,,,,,2,"The discovery_admin role provides access to the Discovery Admin Workspace, which is used for managing Discovery schedules, monitoring Discovery performance, and setting up new IP-based or Cloud Discovery schedules.",Discovery Configuration
What does the Discovery External Credential Storage plugin enable?,multiple-choice,Storing credentials in the CMDB,Retrieving credentials from an external repository instead of ServiceNow,Encrypting credentials with a third-party algorithm,Sharing credentials between multiple ServiceNow instances,,,,,,,,,,,,2,The Discovery External Credential Storage plugin enables a ServiceNow instance to retrieve Discovery credentials from an external credential repository rather than directly from a ServiceNow Credentials record. The MID Server uses a customer-provided JAR file to resolve the credential identifier in the repository.,Discovery Configuration
How can you verify permissions from the MID Server to target devices for troubleshooting?,multiple-choice,Run Discovery in debug mode,"Use PuTTY for SSH, wbemtest for WMI, and iReasoning for SNMP",Check the CMDB Health Dashboard,Review the MID Server logs only,,,,,,,,,,,,2,"Permissions can be validated from the MID Server to target devices using various tools: PuTTY for SSH connections, wbemtest for WMI (Windows), and iReasoning for SNMP devices. These tools help verify connectivity and authentication outside of ServiceNow Discovery.",Discovery Configuration
"When disabling a CI type in the Configuration Console, what happens?",multiple-choice,Existing CIs of that type are deleted from the CMDB,The probe or classifier for that CI type is deactivated for all processes,The item is excluded from Discovery but remains available for other processes,The CI type is permanently removed from the system,,,,,,,,,,,,3,"When you configure Discovery to ignore a CI using the Configuration Console, the instance disables the probe or classifier that explores that CI. However, this action does not deactivate the probe or classifier for general use across the system - the item remains available for other processes.",Discovery Configuration
Which approaches can be used to give Discovery the ability to run commands with root privileges on Unix/Linux systems? (Choose 2),multiple-choice,Configure sudo with limited privileges using /etc/sudoers,Provide root credentials directly,Use PowerShell remoting,Enable anonymous SSH access,,,,,,,,,,,,"1,2","There are two general approaches for running Discovery commands with root privileges on Unix/Linux: 1) Give root credentials (most powerful but may not be desirable from a security perspective), or 2) Grant the user sudo rights to execute specific commands with root privileges by editing /etc/sudoers using visudo.",Discovery Configuration
What information does credential-less discovery using Nmap collect about a host?,multiple-choice,Detailed hardware specifications and installed software,"Basic information like host name, IP, MAC address, and OS family",Running processes and network connections,User accounts and permissions,,,,,,,,,,,,2,"Nmap performs reverse DNS name resolution to identify the host name, uses Npcap to identify the OS family, and collects the MAC address if on the same subnet as the MID Server. This provides basic CI information without requiring credentials.",Discovery Configuration
How does Discovery handle Cloud resource discovery?,multiple-choice,Using Shazzam probes to scan cloud IP ranges,Through API calls from patterns running on the MID Server to cloud endpoints,By installing agents on each cloud resource,Using SNMP to query cloud providers,,,,,,,,,,,,2,"Cloud resource discovery works via a connection to a cloud endpoint. Patterns running from the MID Server send request API calls for information about cloud resources and relations. Responses are passed back through the MID Server, reconciled, and converted into CMDB objects.",Discovery Configuration
What is the default Discovery type when creating a new Discovery schedule?,multiple-choice,Cloud Resources,Configuration Items,Network Devices Only,Applications,,,,,,,,,,,,2,"When viewing the details of a Discovery schedule, the Discovery type defaults to Configuration Items. This means that when the schedule runs, discovered devices will be created as CI records and classified and populated into their respective CMDB tables.",Discovery Configuration
What are the four phases of Discovery in order (PCIE)?,multiple-choice,"Probe, Classify, Identify, Explore","Port Scan, Classification, Identification, Exploration","Ping, Connect, Inventory, Extract","Parse, Catalog, Index, Enumerate",,,,,,,,,,,,2,"The four phases are: Port Scan (Shazzam probe detects open ports), Classification (determines device type), Identification (matches/creates CI in CMDB), and Exploration (gathers detailed device information).",Discovery Configuration
A UI policy enforces a minimum Shazzam batch size. What happens if an administrator enters a value below 256?,multiple-choice,The system raises an error and prevents saving,The value is automatically converted to zero,The value is rounded up to 256,Discovery uses the default batch size of 1000 instead,,,,,,,,,,,,2,A UI policy enforces a minimum batch size of 256 because sizes below 256 don't benefit from clustering. The policy converts any value below 256 to zero.,Discovery Configuration
What information is displayed on a Discovery Status record? (Choose 2),multiple-choice,"Errors, Total Devices, and New Devices Discovered",Total and Duplicate IPs visualization indicators,Historical trends of all previous Discovery runs,Real-time CPU usage of the MID Server,,,,,,,,,,,,"1,2","Discovery Status records show data visualization indicators for Errors, Total Devices and New Devices Discovered, as well as Total and Duplicate IPs.",Discovery Configuration
"When viewing the ECC Queue, how can you distinguish between probe and sensor records?",multiple-choice,"Probes have a 'P' prefix in the record number, sensors have an 'S' prefix","Sensor records are in the input queue, and probe records are in the output queue",Probes are color-coded blue and sensors are color-coded green,You cannot distinguish them; they use the same queue format,,,,,,,,,,,,2,"In the ECC Queue, sensor records appear in the input queue (data coming back from MID Server), and probe records appear in the output queue (instructions going to MID Server).",Discovery Configuration
What does the Configuration Console allow you to do when you disable a CI type like Unix Servers?,multiple-choice,It permanently deactivates the SSH port probe system-wide,"It removes the SSH Port Probe from Shazzam so no Unix systems are discovered, but the probe remains available for other processes",It deletes all existing Unix CI records from the CMDB,It prevents the MID Server from using SSH credentials entirely,,,,,,,,,,,,2,"Disabling a CI type in the Configuration Console removes the corresponding probe from Discovery (e.g., SSH Port Probe from Shazzam), but does not deactivate the probe for general use across the system.",Discovery Configuration
How does credential-less discovery determine the operating system family of a discovered host?,multiple-choice,By analyzing the open ports returned by Shazzam,By running the SetCredentialLessDeviceClassName MID Server script that uses Npcap packet capture library results from Nmap,By querying the host's SNMP service,By comparing the MAC address against a known vendor database,,,,,,,,,,,,2,"After Nmap runs, the SetCredentialLessDeviceClassName MID Server script identifies the OS family. Npcap (included with Nmap) identifies the OS family, and if it matches one of six supported server OS types, a specific server class is used.",Discovery Configuration
"What table stores the list of ports that Nmap scans during credential-less discovery, and how can scanning be blocked for specific ports?",multiple-choice,Port Probe [discovery_port_probe] table; delete the port record,IP Service [cmdb_ip_service] table; set the Credentialless Discovery column to false,ECC Queue [ecc_queue] table; add a port exclusion filter,Discovery Schedule table; add ports to the exclusion list,,,,,,,,,,,,2,"The ports Nmap scans are stored in the IP Service [cmdb_ip_service] table. To block a specific port, set the Credentialless Discovery [cl_discovery] column to false.",Discovery Configuration
What is the purpose of tracked configuration files in Discovery?,multiple-choice,To track changes to the Discovery schedule configuration,To save and version-control the contents of application configuration files discovered on target hosts,To maintain a log of all credential changes,To track modifications to Pattern Designer step definitions,,,,,,,,,,,,2,"Tracked configuration files allow Discovery to save CI configuration file contents (e.g., config files from discovered applications) in the Tracked Configuration file [cmdb_ci_config_file_tracked] table, including previous versions for comparison.",Discovery Configuration
How are Cloud Discovery schedules different from IP-based Discovery schedules?,multiple-choice,Cloud Discovery uses the same Shazzam probe but targets cloud endpoints,"Cloud Discovery connects to cloud endpoints via API calls through the MID Server, using service account credentials",Cloud Discovery does not require a MID Server,"Cloud Discovery only discovers virtual machines, not other cloud resources",,,,,,,,,,,,2,"Cloud Discovery works by connecting to cloud endpoints (AWS, Azure, GCP) via API calls. Patterns running from the MID Server send API requests for cloud resource and relationship information.",Discovery Configuration
What does MID Server stand for?,multiple-choice,Management Information and Discovery Server,"Management, Instrumentation, and Discovery Server",Middleware Integration and Data Server,Multi-Instance Distributed Server,,,,,,,,,,,,2,"MID Server stands for Management, Instrumentation, and Discovery Server. It is a Java application that runs as a Windows service or UNIX daemon on a server in a customer's network, facilitating communication between ServiceNow and on-premises resources.",Discovery Engagement Readiness
What is the default polling interval for MID Server to check the ECC Queue?,multiple-choice,10 seconds,20 seconds,40 seconds,60 seconds,,,,,,,,,,,,3,"The MID Server polls the ECC Queue on the interval defined in the mid.poll.time configuration parameter, regardless of AMB message activity. The default polling interval is set to 40 seconds but can be reconfigured. This polling is done in case the AMB connection is dropped.",Discovery Engagement Readiness
What is the best practice for MID Server placement in a network?,multiple-choice,Place MID Servers at the ServiceNow data center,Install MID Servers as close to the targets as possible with available bandwidth,Always install MID Servers in the DMZ only,Install all MID Servers on a single centralized host,,,,,,,,,,,,2,A best practice by ServiceNow consultants: Install MID Servers as close to the targets as possible where it has the most available bandwidth between it and what will be discovered or integrated with. MID Servers should be deployed to continent or datacenter level for global deployments.,Discovery Engagement Readiness
What is the maximum number of agents that can be connected to a single MID Server by default?,multiple-choice,"1,000","2,000","4,000","8,000",,,,,,,,,,,,3,"The maximum number of agents that can be connected to a single MID Server is configurable in the sn_agent.mid.max_allowed_agents MID Server property. The default value is 4,000. A default 1 GB MID Server can support 700 agents concurrently, while an 8 GB configuration can support 8,000 agents.",Discovery Engagement Readiness
What communication direction does the MID Server use with the ServiceNow instance?,multiple-choice,Both inbound and outbound calls,Only outbound calls from the MID Server to the instance,Only inbound calls from the instance to the MID Server,Bi-directional synchronous calls,,,,,,,,,,,,2,The MID Server only makes outbound calls to the ServiceNow instance; no inbound calls are made to the MID Server. The MID Server opens a persistent connection to the instance through AMB and listens on its channel for work.,Discovery Engagement Readiness
What role is required to create a MID Server user on the ServiceNow instance?,multiple-choice,discovery_admin,admin,mid_server,itil,,,,,,,,,,,,3,A MID Server user with the mid_server role needs to be created on the ServiceNow instance. It is recommended to have this user created before downloading and installing the MID Server on the host machine that will connect to the ServiceNow instance.,Discovery Engagement Readiness
Why must you manually validate a MID Server after installation?,multiple-choice,To test network connectivity,To restrict access to automation credentials to trusted MID Servers only,To configure the polling interval,To enable logging,,,,,,,,,,,,2,"You must manually validate the MID Server after installation to enable it to execute automation tasks. Validation restricts access to automation credentials to trusted MID Servers only, preventing compromised MID Servers from accessing sensitive credentials.",Discovery Engagement Readiness
What limitation exists when using a Linux MID Server for Discovery?,multiple-choice,It cannot connect to the ServiceNow instance,It cannot discover Windows servers,It has reduced performance compared to Windows MID Servers,It cannot run Discovery patterns,,,,,,,,,,,,2,"From a Discovery perspective, Linux MID Servers are not able to discover Windows servers. If a MID Server needs to discover Windows servers or a hybrid environment, ServiceNow recommends installing the MID Server on a supported Windows operating system.",Discovery Engagement Readiness
What ServiceNow products commonly use the MID Server in addition to Discovery?,multiple-choice,Incident Management and Change Management only,"Service Mapping, Integration Hub, Orchestration, Event Management, and Operational Intelligence",Knowledge Management and Service Catalog only,HR Service Delivery and Financial Management only,,,,,,,,,,,,2,"The MID Server is core to many successful implementations as it is used with Discovery, Service Mapping, Integration Hub, Orchestration, Cloud Provisioning and Governance, Event Management, and Operational Intelligence, and provides support for LDAP, Active Directory, and third-party integrations.",Discovery Engagement Readiness
What does MID Server stand for?,multiple-choice,Managed Integration and Discovery,"Management, Instrumentation, and Discovery",Middleware Integration Daemon,Multi-Instance Discovery,,,,,,,,,,,,2,"MID Server stands for Management, Instrumentation, and Discovery Server. It is a Java application that runs as a Windows service or UNIX daemon.",Discovery Engagement Readiness
Which ServiceNow products commonly use the MID Server? (Choose 3),multiple-choice,Discovery and Service Mapping,Integration Hub and Orchestration,Knowledge Management,Event Management and Operational Intelligence,,,,,,,,,,,,"1,2,4","MID Server is used with Discovery, Service Mapping, Integration Hub, Orchestration, Cloud Provisioning, Event Management, Operational Intelligence, and supports LDAP/AD integrations.",Discovery Engagement Readiness
What is the recommended best practice for MID Server placement?,multiple-choice,Install MID Servers in the DMZ for maximum security,Install MID Servers as close to the targets as possible where the most bandwidth is available,Install one central MID Server per organization,Always install MID Servers on the same host as the ServiceNow instance,,,,,,,,,,,,2,ServiceNow consultants recommend installing MID Servers as close to the targets as possible with the most available bandwidth between it and what will be discovered or integrated.,Discovery Engagement Readiness
How does the MID Server receive notification of pending work from the ServiceNow instance?,multiple-choice,The instance sends direct HTTP requests to the MID Server,The MID Server subscribes to the Asynchronous Message Bus (AMB) and also polls the ECC Queue at regular intervals,The MID Server uses a dedicated WebSocket on port 8080,The instance sends push notifications via SNMP traps,,,,,,,,,,,,2,The MID Server opens a persistent AMB connection and listens for notifications. It also polls the ECC Queue at a configurable interval (default 40 seconds) as a fallback if the AMB connection drops.,Discovery Engagement Readiness
What is the default MID Server ECC Queue polling interval?,multiple-choice,10 seconds,40 seconds,60 seconds,120 seconds,,,,,,,,,,,,2,"The default polling interval is 40 seconds, configured via the mid.poll.time parameter. This polling is a fallback mechanism in case the AMB connection drops.",Discovery Engagement Readiness
What limitation exists when using a Linux MID Server for Discovery?,multiple-choice,Linux MID Servers cannot connect to cloud endpoints,Linux MID Servers cannot discover Windows servers,Linux MID Servers do not support PowerShell probes,Linux MID Servers have a maximum of 5 concurrent threads,,,,,,,,,,,,2,"Linux MID Servers cannot discover Windows servers. If a MID Server needs to discover Windows or a hybrid environment, ServiceNow recommends installing it on a supported Windows OS.",Discovery Engagement Readiness
Why must you manually validate a MID Server after installation?,multiple-choice,To verify the Java version is compatible,To restrict access to automation credentials to trusted MID Servers only and prevent compromised servers from executing probes,To register the MID Server in the CMDB,To enable the AMB connection to the instance,,,,,,,,,,,,2,Manual validation ensures only trusted MID Servers can access automation credentials and execute outbound ECC probes. You can invalidate a compromised MID Server to prevent access.,Discovery Engagement Readiness
How are MID Server credentials protected during transmission from the instance to the MID Server?,multiple-choice,Credentials are sent in plain text over HTTPS,"The instance decrypts the stored password, re-encrypts it with the MID Server's encryption key, and sends it over the TLS session",Credentials are stored on disk on the MID Server in an encrypted file,The MID Server retrieves credentials directly from the database,,,,,,,,,,,,2,"The instance decrypts the stored password, re-encrypts it using the MID Server's encryption key (generated on each start, kept in memory only), then sends it over the existing TLS session. The MID Server decrypts in memory; credentials are never stored unencrypted on disk.",Discovery Engagement Readiness
What are the Agent Client Collector for Visibility (ACC-V) prerequisites? (Choose 2),multiple-choice,Discovery plugin (com.snc.discovery) must be installed and activated,Agent Client Collector Framework (ACC-F) must be installed on the ServiceNow instance,A dedicated ACC MID Server cluster with 16GB RAM minimum,ServiceNow Developer instance with admin access,,,,,,,,,,,,"1,2","ACC-V requires the Discovery plugin to be installed and activated, plus the ACC-F framework on the instance. An agent must also be installed on target hosts.",Discovery Engagement Readiness
What is the key difference between debugging an Infrastructure Pattern versus an Application Pattern in Pattern Designer?,multiple-choice,Infrastructure patterns require credentials while application patterns do not,Application patterns require a Debug Type selection (Top-down or Horizontal) while infrastructure patterns only need a host IP,Infrastructure patterns use PIDs while application patterns use entry points,Application patterns can only be tested in production environments,,,,,,,,,,,,2,"Unlike Infrastructure Pattern debugging which only requires a viable host IP address, Application Pattern debugging requires you to choose a Debug Type. This is because an Application Pattern can be for Service Mapping (Top-down) which uses entry points, or Discovery (Horizontal) which uses PIDs.",Discovery Pattern Design
